id,2010_gdp,2011_gdp,2012_gdp,2013_gdp,2014_gdp,2015_gdp,Aggravated_assault_2011,Aggravated_assault_2014,Aggravated_assault_2015,Aggravated_assault_2010,Aggravated_assault_2012,Aggravated_assault_2013,Arson_2010,Arson_2011,Arson_2012,Arson_2013,Arson_2014,Arson_2015,Burglary_2010,Burglary_2011,Burglary_2012,Burglary_2013,Burglary_2014,Burglary_2015,City,Forcible_rape_2011,Larceny_Theft_2010,Larceny_Theft_2012,Larceny_Theft_2013,Larceny_Theft_2014,Larceny_Theft_2011,Larceny_Theft_2015,Motor_vehicle_theft_2011,Motor_vehicle_theft_2014,Motor_vehicle_theft_2015,Motor_vehicle_theft_2010,Motor_vehicle_theft_2012,Motor_vehicle_theft_2013,Murder_Manslaughter_2010,Murder_Manslaughter_2012,Murder_Manslaughter_2013,Murder_Manslaughter_2014,Murder_Manslaughter_2015,Murder_Manslaughter_2011,Population_2010,Population_2011,Population_2012,Population_2013,Population_2014,Population_2015,Property_crime_2011,Property_crime_2014,Property_crime_2015,Property_crime_2010,Property_crime_2012,Property_crime_2013,Rape_legacy_2014,Rape_legacy_2015,Rape_2010,Rape_2012,Rape_2013,Rape_2014,Rape_2015,Rape_legacy_2013,Robbery_2010,Robbery_2011,Robbery_2012,Robbery_2013,Robbery_2014,Robbery_2015,State,Violent_crime_2011,Violent_crime_2014,Violent_crime_2015,Violent_crime_2010,Violent_crime_2012,Violent_crime_2013
11,33110.00,33271.00,34385.00,34898.00,36184.00,36193.00,2022.00,,1960.00,2034.00,2314.00,2103.00,153.00,167.00,198.00,151.00,,117.00,5002.00,4979.00,5021.00,4957.00,,3664.00,Tucson,204.00,,,27440.00,,,29592.00,2746.00,,1929.00,3433.00,2499.00,2190.00,51.00,43.00,47.00,,31.00,51.00,527107.00,527479.00,531535.00,525486.00,,529675.00,,,35185.00,,,34587.00,,,158.00,234.00,,,422.00,216.00,1088.00,1163.00,1260.00,1002.00,,1059.00,Arizona,3440.00,,3472.00,3331.00,3851.00,3368.00
12,5394.00,5638.00,5350.00,5729.00,5583.00,5665.00,387.00,412.00,328.00,467.00,415.00,472.00,27.00,23.00,35.00,25.00,38.00,32.00,815.00,822.00,955.00,805.00,855.00,682.00,Yuma,33.00,2058.00,2162.00,2348.00,2166.00,2196.00,1984.00,209.00,313.00,259.00,187.00,236.00,222.00,3.00,5.00,5.00,3.00,5.00,4.00,88291.00,94381.00,95568.00,96014.00,92075.00,93923.00,3227.00,3334.00,2925.00,3060.00,3353.00,3375.00,,,24.00,27.00,46.00,35.00,46.00,,56.00,66.00,61.00,64.00,70.00,74.00,Arizona,490.00,520.00,453.00,550.00,508.00,587.00
13,9583.00,9792.00,9932.00,10421.00,10771.00,10633.00,433.00,479.00,514.00,463.00,518.00,429.00,14.00,20.00,10.00,9.00,9.00,11.00,1073.00,1110.00,1064.00,975.00,866.00,953.00,Fort Smith,63.00,3530.00,3524.00,3447.00,3625.00,3389.00,3990.00,204.00,181.00,219.00,212.00,183.00,199.00,6.00,5.00,4.00,4.00,5.00,5.00,86096.00,86861.00,87483.00,87821.00,87989.00,87603.00,4703.00,4672.00,5162.00,4815.00,4771.00,4621.00,,,74.00,69.00,79.00,74.00,66.00,,124.00,100.00,95.00,94.00,106.00,119.00,Arkansas,601.00,663.00,704.00,667.00,687.00,606.00
14,2732.00,2952.00,3143.00,3305.00,3391.00,3368.00,257.00,,,301.00,90.00,51.00,4.00,3.00,2.00,3.00,,,793.00,589.00,622.00,721.00,,,Hot Springs,22.00,2161.00,2330.00,2294.00,,2130.00,,128.00,,,170.00,115.00,166.00,7.00,9.00,7.00,,,2.00,40081.00,35459.00,35722.00,35551.00,,,2847.00,,,3124.00,3067.00,3181.00,,,22.00,10.00,25.00,,,,72.00,47.00,55.00,57.00,,,Arkansas,328.00,,,402.00,164.00,140.00
15,4241.00,4283.00,4339.00,4616.00,4651.00,4843.00,207.00,255.00,276.00,215.00,192.00,217.00,9.00,15.00,12.00,12.00,8.00,9.00,1213.00,1276.00,1166.00,979.00,681.00,671.00,Jonesboro,44.00,1619.00,1889.00,1930.00,2409.00,1968.00,2182.00,103.00,82.00,91.00,69.00,102.00,86.00,2.00,4.00,2.00,9.00,4.00,1.00,67382.00,67772.00,68807.00,71114.00,72569.00,73404.00,3347.00,3172.00,2944.00,2901.00,3157.00,2995.00,,,22.00,21.00,36.00,55.00,56.00,,56.00,81.00,78.00,58.00,61.00,56.00,Arkansas,333.00,380.00,392.00,295.00,295.00,313.00
16,3107.00,3106.00,3154.00,3144.00,3104.00,3055.00,478.00,383.00,423.00,475.00,444.00,,38.00,49.00,39.00,,49.00,48.00,1371.00,1565.00,1124.00,,991.00,921.00,Pine Bluff,41.00,2074.00,2008.00,,1487.00,2168.00,1679.00,275.00,178.00,167.00,303.00,180.00,,7.00,14.00,,13.00,10.00,12.00,49971.00,49454.00,48522.00,,45402.00,44466.00,4008.00,2656.00,2767.00,3748.00,3312.00,,,,40.00,32.00,,39.00,32.00,,165.00,152.00,135.00,,141.00,104.00,Arkansas,683.00,576.00,569.00,687.00,625.00,
17,32617.00,34016.00,36210.00,37089.00,38347.00,35829.00,1261.00,980.00,1062.00,1396.00,1141.00,1082.00,103.00,125.00,208.00,193.00,372.00,339.00,4235.00,4321.00,4994.00,4605.00,4065.00,3877.00,Bakersfield,39.00,8507.00,9540.00,9272.00,8247.00,8123.00,9288.00,2396.00,2283.00,2394.00,2455.00,3220.00,2937.00,33.00,34.00,24.00,17.00,22.00,18.00,333458.00,351568.00,355696.00,361859.00,367406.00,373887.00,14840.00,14595.00,15559.00,15197.00,17754.00,16814.00,21.00,,34.00,57.00,,,71.00,43.00,641.00,548.00,697.00,708.00,660.00,655.00,California,1866.00,1678.00,1810.00,2104.00,1929.00,1857.00
18,6338.00,6393.00,6414.00,6951.00,7125.00,7559.00,111.00,186.00,169.00,109.00,140.00,161.00,33.00,29.00,49.00,37.00,70.00,191.00,710.00,487.00,778.00,622.00,483.00,642.00,Chico,37.00,1416.00,1259.00,1568.00,2385.00,1337.00,2591.00,291.00,345.00,401.00,221.00,254.00,382.00,1.00,1.00,2.00,1.00,2.00,5.00,85630.00,87200.00,87090.00,88226.00,88562.00,89949.00,2115.00,3213.00,3634.00,2347.00,2291.00,2572.00,53.00,,47.00,46.00,,,59.00,41.00,88.00,92.00,95.00,95.00,100.00,87.00,California,245.00,340.00,317.00,245.00,282.00,299.00
19,4995.00,5588.00,5383.00,5622.00,5933.00,5947.00,116.00,96.00,97.00,144.00,117.00,82.00,13.00,15.00,9.00,3.00,8.00,11.00,672.00,695.00,734.00,416.00,406.00,493.00,El Centro,11.00,1546.00,1572.00,1499.00,1544.00,1424.00,1983.00,165.00,145.00,191.00,190.00,171.00,124.00,1.00,2.00,1.00,0.00,1.00,2.00,41535.00,43099.00,43643.00,43249.00,43532.00,44033.00,2284.00,2095.00,2667.00,2408.00,2477.00,2039.00,12.00,,7.00,7.00,,,10.00,7.00,45.00,36.00,40.00,54.00,59.00,56.00,California,165.00,167.00,164.00,197.00,166.00,144.00
20,32389.00,34479.00,34774.00,35787.00,37075.00,38830.00,1809.00,1501.00,1653.00,1898.00,1628.00,1556.00,147.00,136.00,134.00,184.00,259.00,255.00,5262.00,5713.00,5902.00,5223.00,4721.00,4429.00,Fresno,51.00,14645.00,15534.00,13304.00,13277.00,14928.00,14184.00,4780.00,3103.00,2993.00,4553.00,4301.00,4057.00,45.00,51.00,40.00,47.00,39.00,35.00,484734.00,500480.00,506011.00,508876.00,513187.00,520837.00,25421.00,21101.00,21606.00,24460.00,25737.00,22584.00,53.00,,70.00,54.00,,,167.00,53.00,1021.00,1020.00,1015.00,903.00,781.00,1012.00,California,2915.00,2382.00,2871.00,3034.00,2748.00,2552.00
