id,2010_gdp,2011_gdp,2012_gdp,2013_gdp,2014_gdp,2015_gdp,Aggravated_assault_2011,Aggravated_assault_2014,Aggravated_assault_2015,Aggravated_assault_2010,Aggravated_assault_2012,Aggravated_assault_2013,Arson_2010,Arson_2011,Arson_2012,Arson_2013,Arson_2014,Arson_2015,Burglary_2010,Burglary_2011,Burglary_2012,Burglary_2013,Burglary_2014,Burglary_2015,City,Forcible_rape_2011,Larceny_Theft_2010,Larceny_Theft_2012,Larceny_Theft_2013,Larceny_Theft_2014,Larceny_Theft_2011,Larceny_Theft_2015,Motor_vehicle_theft_2011,Motor_vehicle_theft_2014,Motor_vehicle_theft_2015,Motor_vehicle_theft_2010,Motor_vehicle_theft_2012,Motor_vehicle_theft_2013,Murder_Manslaughter_2010,Murder_Manslaughter_2012,Murder_Manslaughter_2013,Murder_Manslaughter_2014,Murder_Manslaughter_2015,Murder_Manslaughter_2011,Population_2010,Population_2011,Population_2012,Population_2013,Population_2014,Population_2015,Property_crime_2011,Property_crime_2014,Property_crime_2015,Property_crime_2010,Property_crime_2012,Property_crime_2013,Rape_legacy_2014,Rape_legacy_2015,Rape_2010,Rape_2012,Rape_2013,Rape_2014,Rape_2015,Rape_legacy_2013,Robbery_2010,Robbery_2011,Robbery_2012,Robbery_2013,Robbery_2014,Robbery_2015,State,Violent_crime_2011,Violent_crime_2014,Violent_crime_2015,Violent_crime_2010,Violent_crime_2012,Violent_crime_2013
93,34216.00,35022.00,35714.00,36876.00,37896.00,39257.00,1342.00,1347.00,1186.00,1350.00,1298.00,1236.00,10.00,10.00,6.00,7.00,2.00,3.00,1910.00,2066.00,2040.00,1916.00,1414.00,1214.00,Worcester,36.00,3687.00,3927.00,3924.00,3824.00,3481.00,3765.00,530.00,366.00,396.00,593.00,465.00,399.00,7.00,8.00,9.00,6.00,8.00,11.00,181908.00,182145.00,183247.00,183454.00,183248.00,183377.00,6077.00,5604.00,5375.00,6190.00,6432.00,6239.00,,,19.00,33.00,22.00,7.00,26.00,,368.00,411.00,419.00,483.00,402.00,407.00,Massachusetts,1800.00,1762.00,1627.00,1744.00,1758.00,1750.00
94,19145.00,19168.00,19247.00,19784.00,20347.00,21212.00,166.00,114.00,128.00,165.00,141.00,147.00,22.00,11.00,23.00,12.00,11.00,5.00,524.00,534.00,714.00,410.00,320.00,274.00,Ann Arbor,36.00,2284.00,1898.00,2021.00,1779.00,1918.00,2018.00,97.00,101.00,72.00,129.00,114.00,94.00,0.00,1.00,3.00,0.00,0.00,0.00,111745.00,113848.00,115008.00,116799.00,117768.00,118730.00,2549.00,2200.00,2364.00,2937.00,2726.00,2525.00,,,43.00,35.00,48.00,56.00,58.00,,76.00,59.00,50.00,49.00,24.00,42.00,Michigan,261.00,194.00,228.00,284.00,227.00,247.00
95,5227.00,5097.00,5213.00,5430.00,5480.00,5685.00,402.00,357.00,323.00,514.00,,,19.00,25.00,,,16.00,15.00,1075.00,1146.00,,,770.00,647.00,Battle Creek,62.00,1910.00,,,1477.00,1846.00,1516.00,97.00,103.00,72.00,149.00,,,5.00,,,3.00,4.00,5.00,60386.00,61658.00,,,61225.00,61240.00,3089.00,2350.00,2235.00,3134.00,,,,,63.00,,,54.00,72.00,,120.00,98.00,,,66.00,63.00,Michigan,567.00,480.00,462.00,702.00,,
96,2977.00,2981.00,3038.00,3091.00,3100.00,3148.00,99.00,107.00,128.00,151.00,143.00,134.00,9.00,13.00,10.00,5.00,4.00,5.00,340.00,244.00,199.00,210.00,272.00,312.00,Bay City,36.00,681.00,553.00,674.00,695.00,524.00,737.00,29.00,36.00,39.00,35.00,39.00,54.00,1.00,1.00,0.00,1.00,0.00,0.00,33200.00,34906.00,34742.00,34395.00,34307.00,33965.00,797.00,1003.00,1088.00,1056.00,791.00,938.00,,,53.00,42.00,62.00,55.00,49.00,,45.00,35.00,29.00,21.00,19.00,29.00,Michigan,170.00,182.00,206.00,250.00,215.00,217.00
97,11939.00,12111.00,12523.00,12771.00,13133.00,13876.00,1648.00,1274.00,1055.00,1597.00,1930.00,1267.00,343.00,287.00,226.00,110.00,133.00,79.00,3648.00,3628.00,2979.00,1941.00,1677.00,1391.00,Flint,85.00,1936.00,2207.00,2000.00,1944.00,2220.00,1880.00,770.00,270.00,267.00,653.00,459.00,320.00,53.00,63.00,48.00,28.00,47.00,52.00,109245.00,102357.00,101632.00,99941.00,99166.00,98221.00,6618.00,3891.00,3538.00,6237.00,5645.00,4261.00,,,92.00,108.00,145.00,115.00,77.00,,670.00,607.00,673.00,447.00,277.00,272.00,Michigan,2392.00,1694.00,1451.00,2412.00,2774.00,1907.00
98,4990.00,5163.00,5174.00,5648.00,5696.00,5871.00,,203.00,275.00,218.00,,246.00,14.00,,,15.00,22.00,15.00,406.00,,,433.00,232.00,258.00,Jackson,,1127.00,,1220.00,1157.00,,1155.00,,39.00,64.00,53.00,,79.00,5.00,,4.00,3.00,3.00,,32741.00,,,33378.00,33404.00,33126.00,,1428.00,1477.00,1586.00,,1732.00,,,42.00,,59.00,40.00,55.00,,54.00,,,61.00,53.00,78.00,Michigan,,299.00,411.00,319.00,,370.00
99,3710.00,3916.00,3838.00,3867.00,4077.00,4134.00,34.00,22.00,25.00,35.00,17.00,,10.00,7.00,3.00,,0.00,2.00,121.00,60.00,56.00,,57.00,47.00,Midland,16.00,606.00,400.00,,477.00,425.00,483.00,4.00,12.00,4.00,2.00,1.00,,1.00,1.00,,1.00,1.00,1.00,40346.00,41831.00,42106.00,,42256.00,41975.00,489.00,546.00,534.00,729.00,457.00,,,,14.00,15.00,,19.00,21.00,,2.00,3.00,5.00,,8.00,2.00,Michigan,54.00,50.00,49.00,52.00,38.00,
100,3935.00,4030.00,4173.00,4390.00,4540.00,4613.00,70.00,,67.00,66.00,72.00,61.00,7.00,5.00,8.00,1.00,,3.00,190.00,244.00,234.00,151.00,,107.00,Monroe,13.00,586.00,560.00,521.00,,622.00,373.00,45.00,,18.00,93.00,37.00,42.00,0.00,1.00,1.00,,0.00,0.00,21062.00,20717.00,20687.00,20474.00,,20074.00,911.00,,498.00,869.00,831.00,714.00,,,16.00,10.00,25.00,,17.00,,33.00,24.00,25.00,23.00,,11.00,Michigan,107.00,,95.00,115.00,108.00,110.00
101,4851.00,5092.00,5255.00,5387.00,5613.00,5731.00,239.00,210.00,186.00,234.00,,205.00,23.00,17.00,,10.00,8.00,9.00,528.00,585.00,,649.00,443.00,326.00,Muskegon,34.00,1609.00,,1262.00,1218.00,1500.00,1186.00,72.00,103.00,101.00,97.00,,59.00,1.00,,3.00,2.00,1.00,5.00,38829.00,38372.00,,36658.00,36964.00,38442.00,2157.00,1764.00,1613.00,2234.00,,1970.00,,,46.00,,47.00,24.00,27.00,,90.00,86.00,,70.00,69.00,64.00,Michigan,364.00,305.00,278.00,371.00,,325.00
102,6969.00,7139.00,7152.00,7334.00,7471.00,7605.00,953.00,640.00,540.00,952.00,952.00,763.00,23.00,46.00,26.00,18.00,14.00,48.00,1310.00,1125.00,1042.00,746.00,555.00,460.00,Saginaw,37.00,763.00,618.00,644.00,593.00,657.00,553.00,104.00,61.00,77.00,122.00,105.00,102.00,4.00,27.00,29.00,11.00,7.00,8.00,54155.00,51469.00,51267.00,50580.00,50030.00,49459.00,1886.00,1209.00,1090.00,2195.00,1765.00,1492.00,,,61.00,65.00,64.00,70.00,58.00,,192.00,170.00,167.00,129.00,124.00,87.00,Michigan,1168.00,845.00,692.00,1209.00,1211.00,985.00
103,10932.00,11847.00,11580.00,12223.00,12677.00,12432.00,164.00,191.00,225.00,165.00,213.00,216.00,9.00,19.00,54.00,23.00,12.00,11.00,605.00,756.00,642.00,643.00,503.00,602.00,Duluth,,3301.00,3047.00,3484.00,3002.00,3424.00,2858.00,166.00,145.00,151.00,,172.00,156.00,1.00,2.00,2.00,3.00,2.00,0.00,84249.00,86931.00,86830.00,86211.00,86106.00,86241.00,4346.00,3650.00,3611.00,,3861.00,4283.00,,,,,52.00,42.00,71.00,,90.00,82.00,90.00,72.00,73.00,54.00,Minnesota,,309.00,352.00,,,342.00
104,9771.00,9768.00,10080.00,10395.00,10782.00,11214.00,102.00,105.00,100.00,123.00,104.00,110.00,24.00,20.00,13.00,8.00,8.00,3.00,399.00,425.00,495.00,429.00,338.00,468.00,Rochester,,1925.00,2137.00,2026.00,1775.00,1809.00,1987.00,89.00,110.00,91.00,105.00,89.00,103.00,1.00,2.00,0.00,2.00,1.00,1.00,105027.00,107593.00,108582.00,109675.00,111712.00,112542.00,2323.00,2223.00,2546.00,2429.00,2721.00,2558.00,,,,,50.00,46.00,47.00,,58.00,65.00,55.00,54.00,52.00,50.00,Minnesota,,205.00,198.00,,,214.00
105,7676.00,7906.00,8139.00,8473.00,8981.00,9399.00,129.00,161.00,132.00,134.00,,147.00,18.00,8.00,,25.00,11.00,11.00,347.00,431.00,,371.00,382.00,399.00,St. Cloud,,2102.00,,2308.00,1973.00,2040.00,2736.00,107.00,155.00,124.00,93.00,,163.00,3.00,,1.00,0.00,4.00,0.00,67942.00,66350.00,,65977.00,66366.00,66498.00,2578.00,2510.00,3259.00,2542.00,,2842.00,,,,,56.00,47.00,55.00,,43.00,45.00,,46.00,53.00,57.00,Minnesota,,261.00,248.00,,,250.00
106,4934.00,5031.00,5271.00,5332.00,5468.00,5658.00,,53.00,49.00,40.00,34.00,64.00,6.00,,3.00,3.00,2.00,3.00,434.00,,375.00,442.00,398.00,606.00,Hattiesburg,,1809.00,2183.00,2224.00,2291.00,,2350.00,,71.00,57.00,74.00,110.00,90.00,4.00,5.00,4.00,11.00,6.00,,53678.00,,46726.00,47549.00,47930.00,47315.00,,2760.00,3013.00,2317.00,2668.00,2756.00,21.00,,9.00,13.00,,,16.00,43.00,62.00,,66.00,46.00,40.00,34.00,Mississippi,,125.00,105.00,115.00,118.00,157.00
107,25283.00,26301.00,27409.00,27958.00,28662.00,28996.00,634.00,614.00,598.00,490.00,671.00,626.00,83.00,86.00,63.00,124.00,241.00,83.00,4818.00,4722.00,4124.00,3366.00,2952.00,2395.00,Jackson,126.00,6877.00,6308.00,5864.00,6303.00,6632.00,5222.00,1457.00,1127.00,1004.00,1555.00,1136.00,1054.00,41.00,63.00,50.00,61.00,53.00,52.00,174153.00,174170.00,175939.00,176039.00,172376.00,170508.00,12811.00,10382.00,8621.00,13250.00,11568.00,10284.00,117.00,139.00,101.00,135.00,,,,110.00,1086.00,808.00,799.00,845.00,801.00,781.00,Mississippi,1620.00,1593.00,1571.00,1718.00,1668.00,1631.00
108,3537.00,3513.00,3546.00,3690.00,3765.00,3788.00,142.00,145.00,127.00,170.00,162.00,156.00,7.00,2.00,16.00,6.00,4.00,7.00,414.00,394.00,500.00,446.00,336.00,312.00,Cape Girardeau,15.00,1985.00,2052.00,1487.00,1389.00,2017.00,1535.00,62.00,68.00,102.00,64.00,76.00,57.00,1.00,3.00,5.00,4.00,2.00,1.00,37627.00,38079.00,38474.00,38716.00,39012.00,39439.00,2473.00,1793.00,1949.00,2463.00,2628.00,1990.00,,,13.00,12.00,12.00,11.00,19.00,,54.00,94.00,66.00,85.00,66.00,62.00,Missouri,252.00,226.00,210.00,238.00,243.00,258.00
109,6796.00,6978.00,7241.00,7790.00,8016.00,8303.00,377.00,226.00,376.00,359.00,270.00,232.00,7.00,16.00,14.00,14.00,26.00,9.00,552.00,798.00,784.00,703.00,750.00,839.00,Columbia,37.00,3129.00,3294.00,3490.00,3069.00,3323.00,2570.00,142.00,169.00,226.00,135.00,143.00,166.00,3.00,3.00,5.00,5.00,1.00,2.00,103417.00,108894.00,110646.00,114587.00,116847.00,118911.00,4263.00,3988.00,3635.00,3816.00,4221.00,4359.00,,,37.00,41.00,67.00,63.00,82.00,,131.00,166.00,162.00,112.00,116.00,141.00,Missouri,582.00,410.00,600.00,530.00,476.00,416.00
110,6194.00,6102.00,6136.00,6534.00,6650.00,6750.00,177.00,101.00,104.00,150.00,208.00,157.00,19.00,10.00,10.00,6.00,4.00,2.00,284.00,282.00,235.00,235.00,166.00,178.00,Jefferson City,9.00,1348.00,1311.00,1162.00,1134.00,1305.00,1153.00,26.00,31.00,47.00,36.00,40.00,49.00,1.00,2.00,0.00,1.00,2.00,1.00,41092.00,43236.00,43413.00,43193.00,43372.00,43127.00,1613.00,1331.00,1378.00,1668.00,1586.00,1446.00,,,6.00,12.00,7.00,6.00,14.00,,40.00,58.00,39.00,36.00,25.00,42.00,Missouri,245.00,133.00,162.00,197.00,261.00,200.00
111,6065.00,6175.00,6328.00,6487.00,6555.00,6710.00,160.00,148.00,182.00,184.00,189.00,149.00,29.00,12.00,28.00,14.00,21.00,33.00,558.00,692.00,653.00,617.00,611.00,510.00,Joplin,33.00,2612.00,2920.00,3055.00,3042.00,2562.00,2679.00,279.00,295.00,325.00,234.00,265.00,253.00,1.00,2.00,1.00,3.00,3.00,2.00,50346.00,50332.00,50654.00,49272.00,50751.00,51412.00,3533.00,3948.00,3514.00,3404.00,3838.00,3925.00,,,39.00,27.00,35.00,48.00,43.00,,64.00,54.00,70.00,55.00,62.00,84.00,Missouri,249.00,261.00,312.00,288.00,288.00,240.00
112,107265.00,109235.00,114154.00,116686.00,121105.00,125618.00,3498.00,3769.00,4531.00,3544.00,3864.00,3726.00,343.00,302.00,262.00,207.00,217.00,198.00,7124.00,6848.00,6964.00,6412.00,5659.00,4871.00,Kansas City,265.00,16625.00,15088.00,13949.00,13037.00,15305.00,12249.00,3392.00,3952.00,3904.00,3170.00,3590.00,4287.00,102.00,105.00,99.00,78.00,109.00,108.00,483191.00,461458.00,464073.00,465514.00,468417.00,473373.00,25545.00,22648.00,21024.00,26919.00,25642.00,24648.00,,,234.00,246.00,377.00,390.00,366.00,,1626.00,1665.00,1647.00,1662.00,1625.00,1703.00,Missouri,5536.00,5862.00,6709.00,5506.00,5862.00,5864.00
113,15599.00,15827.00,16248.00,16819.00,17519.00,18404.00,905.00,1290.00,1506.00,887.00,1086.00,1206.00,59.00,47.00,61.00,63.00,49.00,59.00,2188.00,2053.00,2215.00,2313.00,1814.00,1956.00,Springfield,110.00,12024.00,11238.00,11232.00,9509.00,11391.00,9799.00,974.00,1315.00,1252.00,1004.00,1051.00,1146.00,11.00,16.00,12.00,16.00,10.00,5.00,157110.00,160078.00,160962.00,163062.00,165280.00,166860.00,14418.00,12638.00,13007.00,15216.00,14504.00,14691.00,,,120.00,141.00,281.00,265.00,298.00,,310.00,286.00,353.00,395.00,390.00,448.00,Missouri,1306.00,1961.00,2262.00,1328.00,1596.00,1894.00
114,4817.00,4918.00,5305.00,5570.00,5600.00,5716.00,174.00,204.00,243.00,210.00,209.00,227.00,16.00,17.00,25.00,16.00,12.00,21.00,870.00,907.00,993.00,805.00,680.00,847.00,St. Joseph,21.00,2547.00,3344.00,3237.00,3295.00,2870.00,3235.00,279.00,319.00,452.00,188.00,371.00,296.00,5.00,1.00,1.00,2.00,7.00,4.00,75922.00,77059.00,77330.00,77347.00,77269.00,77035.00,4056.00,4294.00,4534.00,3605.00,4708.00,4338.00,,,20.00,22.00,61.00,56.00,61.00,,70.00,82.00,91.00,85.00,89.00,86.00,Missouri,281.00,351.00,397.00,305.00,323.00,374.00
115,133888.00,136646.00,141365.00,144901.00,149927.00,155077.00,3522.00,3348.00,3521.00,3748.00,3571.00,3167.00,250.00,191.00,196.00,179.00,190.00,223.00,6705.00,7015.00,4986.00,4305.00,4209.00,4202.00,St. Louis,188.00,16356.00,13520.00,13452.00,12463.00,15285.00,12680.00,3369.00,3247.00,3146.00,4263.00,3489.00,3330.00,144.00,113.00,120.00,159.00,188.00,113.00,355151.00,320454.00,318667.00,318563.00,318574.00,317095.00,25669.00,19919.00,20028.00,27324.00,21995.00,21087.00,,,188.00,199.00,333.00,279.00,263.00,,2125.00,2127.00,1778.00,1457.00,1562.00,1790.00,Missouri,5950.00,5348.00,5762.00,6205.00,5661.00,5077.00
116,7422.00,8605.00,8889.00,8970.00,9480.00,9764.00,239.00,281.00,343.00,211.00,261.00,236.00,14.00,9.00,14.00,7.00,12.00,9.00,848.00,669.00,793.00,989.00,631.00,600.00,Billings,36.00,3811.00,3608.00,4074.00,3746.00,3689.00,3824.00,335.00,558.00,752.00,362.00,411.00,541.00,2.00,3.00,4.00,10.00,9.00,2.00,108039.00,105095.00,106371.00,107802.00,110245.00,109997.00,4693.00,4935.00,5176.00,5021.00,4812.00,5604.00,,,25.00,38.00,39.00,72.00,65.00,,42.00,36.00,68.00,81.00,54.00,67.00,Montana,313.00,417.00,484.00,280.00,370.00,360.00
117,3032.00,3130.00,3176.00,3151.00,3299.00,3455.00,128.00,113.00,107.00,93.00,115.00,101.00,6.00,20.00,15.00,5.00,6.00,10.00,308.00,303.00,320.00,393.00,314.00,348.00,Great Falls,13.00,2343.00,2338.00,2186.00,2130.00,2287.00,2196.00,109.00,117.00,122.00,125.00,130.00,104.00,4.00,1.00,0.00,0.00,4.00,2.00,59984.00,59024.00,59360.00,58940.00,59501.00,59252.00,2699.00,2561.00,2666.00,2776.00,2788.00,2683.00,,,6.00,10.00,30.00,28.00,13.00,,21.00,33.00,25.00,18.00,21.00,29.00,Montana,176.00,162.00,153.00,124.00,151.00,149.00
118,3431.00,3724.00,3887.00,4061.00,3999.00,4053.00,91.00,89.00,74.00,113.00,101.00,91.00,12.00,6.00,17.00,7.00,11.00,4.00,373.00,399.00,367.00,526.00,403.00,214.00,Grand Island,28.00,1829.00,1859.00,1759.00,1719.00,1958.00,1201.00,91.00,101.00,82.00,95.00,79.00,104.00,2.00,0.00,1.00,0.00,0.00,1.00,47736.00,48953.00,49583.00,50441.00,50999.00,51861.00,2448.00,2223.00,1497.00,2297.00,2305.00,2389.00,34.00,36.00,31.00,40.00,,,,36.00,22.00,29.00,21.00,8.00,8.00,11.00,Nebraska,149.00,131.00,121.00,168.00,162.00,136.00
119,14526.00,15052.00,16314.00,17355.00,18025.00,18773.00,619.00,554.00,617.00,931.00,668.00,631.00,,25.00,26.00,40.00,65.00,91.00,1464.00,1401.00,1616.00,1423.00,1305.00,1328.00,Lincoln,166.00,8406.00,8244.00,7625.00,7452.00,8424.00,7344.00,364.00,325.00,361.00,348.00,311.00,306.00,2.00,3.00,5.00,7.00,1.00,4.00,259672.00,260685.00,264175.00,267565.00,271208.00,276585.00,10189.00,9082.00,9033.00,10218.00,10171.00,9354.00,152.00,193.00,143.00,182.00,,,,142.00,182.00,177.00,197.00,212.00,205.00,214.00,Nebraska,966.00,918.00,1025.00,1258.00,1050.00,990.00
120,18854.00,19108.00,19199.00,19512.00,20823.00,22043.00,684.00,741.00,923.00,728.00,825.00,767.00,29.00,26.00,29.00,18.00,15.00,26.00,1638.00,1618.00,1633.00,1411.00,1312.00,1440.00,Reno,27.00,5101.00,4909.00,4901.00,4711.00,4311.00,5070.00,621.00,775.00,1021.00,729.00,881.00,868.00,9.00,7.00,14.00,15.00,15.00,14.00,222242.00,227120.00,230486.00,232561.00,235055.00,239721.00,6550.00,6798.00,7531.00,7468.00,7423.00,7180.00,,,46.00,33.00,,128.00,136.00,68.00,385.00,383.00,327.00,305.00,263.00,345.00,Nevada,1108.00,1147.00,1419.00,1168.00,1192.00,1154.00
121,4298.00,4382.00,4499.00,4532.00,4657.00,4732.00,20.00,10.00,4.00,14.00,13.00,6.00,1.00,0.00,0.00,0.00,0.00,0.00,189.00,111.00,88.00,88.00,84.00,64.00,Ocean City,1.00,700.00,388.00,346.00,384.00,468.00,409.00,2.00,7.00,2.00,5.00,2.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,14725.00,11740.00,11676.00,11473.00,11392.00,11296.00,581.00,475.00,475.00,894.00,478.00,440.00,0.00,,4.00,1.00,,,2.00,3.00,9.00,1.00,1.00,3.00,3.00,4.00,New Jersey,22.00,13.00,10.00,27.00,15.00,12.00
122,25853.00,26251.00,28026.00,29043.00,29654.00,30815.00,641.00,473.00,551.00,670.00,627.00,547.00,45.00,25.00,19.00,20.00,26.00,25.00,865.00,1138.00,1291.00,996.00,819.00,771.00,Trenton,25.00,1289.00,986.00,909.00,870.00,993.00,784.00,439.00,340.00,475.00,362.00,469.00,416.00,15.00,24.00,37.00,32.00,17.00,23.00,83552.00,85196.00,85317.00,84439.00,84324.00,83662.00,2570.00,2029.00,2030.00,2516.00,2746.00,2321.00,23.00,,13.00,23.00,,,48.00,13.00,500.00,519.00,577.00,525.00,403.00,402.00,New Jersey,1208.00,931.00,1018.00,1198.00,1251.00,1122.00
123,39043.00,39634.00,40293.00,40249.00,41684.00,42673.00,2910.00,3121.00,3273.00,2971.00,2740.00,2803.00,121.00,133.00,86.00,83.00,86.00,89.00,5465.00,5985.00,6677.00,7297.00,6123.00,5996.00,Albuquerque,264.00,18134.00,20298.00,20229.00,20756.00,19168.00,22818.00,2823.00,3558.00,5179.00,2773.00,2743.00,3005.00,42.00,41.00,37.00,30.00,43.00,35.00,545389.00,551961.00,553684.00,558165.00,558874.00,559721.00,27976.00,30437.00,33993.00,26372.00,29718.00,30531.00,402.00,404.00,338.00,278.00,,,,439.00,940.00,998.00,1092.00,1046.00,1381.00,1686.00,New Mexico,4207.00,4934.00,5406.00,4291.00,4151.00,4325.00
124,6337.00,7245.00,7087.00,7079.00,7306.00,6033.00,389.00,191.00,76.00,386.00,357.00,196.00,20.00,10.00,12.00,12.00,14.00,,319.00,244.00,332.00,297.00,307.00,244.00,Farmington,73.00,1270.00,1430.00,1285.00,1116.00,1291.00,1320.00,93.00,98.00,124.00,89.00,104.00,92.00,3.00,4.00,3.00,2.00,3.00,2.00,44563.00,46390.00,45328.00,45820.00,45289.00,44076.00,1628.00,1521.00,1688.00,1678.00,1866.00,1674.00,56.00,68.00,63.00,81.00,,,,49.00,25.00,40.00,39.00,43.00,52.00,40.00,New Mexico,504.00,301.00,187.00,477.00,481.00,291.00
125,6216.00,6240.00,6150.00,6069.00,6266.00,6369.00,336.00,173.00,177.00,332.00,263.00,225.00,11.00,2.00,9.00,6.00,5.00,3.00,1110.00,1120.00,991.00,724.00,828.00,729.00,Las Cruces,17.00,3026.00,3214.00,3454.00,3563.00,3164.00,4117.00,262.00,223.00,219.00,190.00,214.00,171.00,3.00,5.00,6.00,7.00,3.00,3.00,97065.00,98710.00,99824.00,102007.00,102113.00,102227.00,4546.00,4614.00,5065.00,4326.00,4419.00,4349.00,55.00,34.00,11.00,56.00,,,,27.00,62.00,68.00,70.00,74.00,60.00,54.00,New Mexico,424.00,295.00,268.00,408.00,394.00,332.00
126,6940.00,6885.00,6776.00,7068.00,7123.00,7417.00,207.00,145.00,175.00,239.00,205.00,,9.00,9.00,25.00,,10.00,14.00,2392.00,1943.00,1907.00,,1157.00,1148.00,Santa Fe,19.00,1781.00,1816.00,,1747.00,1639.00,1809.00,167.00,113.00,154.00,176.00,174.00,,8.00,2.00,,3.00,2.00,2.00,76442.00,68707.00,68751.00,,70438.00,70845.00,3749.00,3017.00,3111.00,4349.00,3897.00,,23.00,42.00,39.00,15.00,,,,,81.00,77.00,109.00,,73.00,92.00,New Mexico,305.00,244.00,311.00,367.00,331.00,
127,8797.00,8891.00,8964.00,9135.00,9159.00,9283.00,175.00,173.00,180.00,174.00,216.00,161.00,2.00,2.00,,,5.00,4.00,423.00,415.00,558.00,525.00,343.00,342.00,Binghamton,17.00,1644.00,1732.00,1767.00,1653.00,1796.00,1707.00,73.00,52.00,43.00,18.00,46.00,57.00,4.00,3.00,3.00,1.00,4.00,0.00,43628.00,47589.00,47250.00,46304.00,46229.00,46048.00,2284.00,2048.00,2092.00,2085.00,2336.00,2349.00,,,18.00,15.00,,49.00,37.00,19.00,70.00,76.00,81.00,101.00,82.00,89.00,New York,268.00,305.00,310.00,266.00,315.00,284.00
128,3158.00,3250.00,3335.00,3355.00,3381.00,3399.00,42.00,50.00,44.00,70.00,61.00,50.00,3.00,3.00,1.00,,3.00,3.00,259.00,255.00,250.00,224.00,230.00,179.00,Elmira,2.00,773.00,923.00,790.00,712.00,871.00,675.00,15.00,22.00,18.00,25.00,19.00,13.00,4.00,2.00,0.00,1.00,1.00,1.00,28823.00,29331.00,29362.00,28921.00,28803.00,28489.00,1141.00,964.00,872.00,1057.00,1192.00,1027.00,0.00,1.00,5.00,1.00,,,,2.00,29.00,25.00,40.00,29.00,29.00,38.00,New York,70.00,80.00,84.00,108.00,104.00,81.00
129,4257.00,4322.00,4484.00,4508.00,4629.00,4741.00,37.00,13.00,22.00,37.00,37.00,17.00,0.00,1.00,,,1.00,0.00,29.00,68.00,51.00,50.00,39.00,26.00,Glens Falls,2.00,177.00,315.00,288.00,293.00,331.00,203.00,11.00,6.00,6.00,3.00,6.00,5.00,0.00,1.00,0.00,0.00,0.00,0.00,13650.00,14766.00,14807.00,14582.00,14518.00,14364.00,410.00,338.00,235.00,209.00,372.00,343.00,,,2.00,3.00,,8.00,11.00,2.00,3.00,5.00,2.00,3.00,4.00,3.00,New York,44.00,25.00,36.00,42.00,43.00,22.00
130,4292.00,4331.00,4515.00,4618.00,4683.00,4889.00,,,,33.00,31.00,,0.00,,,,,,152.00,,177.00,,,,Ithaca,,963.00,1033.00,,,,,,,,28.00,28.00,,0.00,0.00,,,,,29791.00,,30216.00,,,,,,,1143.00,1238.00,,,,4.00,4.00,,,,,23.00,,30.00,,,,New York,,,,60.00,65.00,
131,5179.00,5088.00,5232.00,5402.00,5466.00,5701.00,51.00,35.00,28.00,46.00,46.00,44.00,4.00,3.00,1.00,1.00,1.00,1.00,142.00,115.00,114.00,112.00,87.00,98.00,Kingston,8.00,451.00,648.00,565.00,578.00,450.00,549.00,15.00,7.00,13.00,18.00,10.00,10.00,1.00,0.00,1.00,2.00,0.00,0.00,22012.00,24000.00,24016.00,23665.00,23702.00,23485.00,580.00,672.00,660.00,611.00,772.00,687.00,,,5.00,4.00,,5.00,13.00,4.00,29.00,34.00,20.00,25.00,25.00,30.00,New York,93.00,67.00,71.00,81.00,70.00,74.00
132,49331.00,49547.00,51091.00,53005.00,53246.00,55382.00,1148.00,850.00,1018.00,1273.00,1104.00,1055.00,176.00,177.00,194.00,132.00,135.00,108.00,3448.00,3384.00,2978.00,2587.00,2125.00,1753.00,Rochester,95.00,7620.00,7683.00,6855.00,6058.00,6849.00,5779.00,701.00,673.00,734.00,752.00,622.00,609.00,41.00,36.00,42.00,27.00,33.00,31.00,203802.00,211511.00,211993.00,210562.00,210347.00,209922.00,10934.00,8856.00,8266.00,11820.00,11283.00,10051.00,,,99.00,112.00,,190.00,148.00,92.00,816.00,755.00,817.00,918.00,698.00,640.00,New York,2029.00,1765.00,1839.00,2229.00,2069.00,2107.00
133,28953.00,28992.00,30125.00,30468.00,31037.00,31728.00,840.00,668.00,684.00,831.00,829.00,696.00,54.00,60.00,45.00,57.00,57.00,41.00,2174.00,1705.00,1896.00,1781.00,1404.00,1194.00,Syracuse,63.00,3167.00,3698.00,4298.00,3986.00,3261.00,3577.00,309.00,365.00,316.00,367.00,382.00,394.00,15.00,14.00,21.00,20.00,22.00,11.00,136284.00,145822.00,145934.00,143834.00,144534.00,144027.00,5275.00,5755.00,5087.00,5708.00,5976.00,6473.00,,,68.00,75.00,,70.00,77.00,75.00,377.00,388.00,454.00,400.00,406.00,359.00,New York,1302.00,1164.00,1142.00,1291.00,1372.00,1192.00
