Year,State,City by state,Population,Crime Index total,Modified Crime Index total1,Murder      and non-negligent         man-     slaughter,Forcible rape,Robbery,Aggravated assault,Burglary,Larceny-theft,Motor vehicle theft,Arson1,,,,,,,
2001,CONNECTICUT,Winchester,"10,725",122,122,0,1,1,4,12,100,4,0,,,,,,,
2001,CONNECTICUT,Windsor,"28,399",604,612,0,4,16,3,72,469,40,8,,,,,,,
2001,CONNECTICUT,Windsor Locks,"12,112",271,273,0,9,3,4,47,155,53,2,,,,,,,
2001,CONNECTICUT,Wolcott,"15,302",366,366,0,2,0,4,52,284,24,0,,,,,,,
"2,001 ",,,,,,,,,,,,,,,,,,,,
2001,,,,,, , ,, ,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,
2001,DELAWARE4,Dover,"32,650","2,037","2,054",1,15,55,123,150,"1,590",103,17,,,,,,,
2001,DELAWARE4,Newark,"29,005","1,473","1,483",0,8,28,98,220,"1,024",95,10,,,,,,,
2001,DELAWARE4,Wilmington,"73,829","5,488","5,504",14,48,382,604,863,"2,838",739,16,,,,,,,
"2,001 ",,,,,,,,,,,,,,,,,,,,
2001,,,, ,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,
2001,DISTRICT OF COLUMBIA5,Washington,"571,822","44,041","44,136",232,188,"3,940","5,568","5,009","21,434","7,670",95,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,
2001,,,,,,, ,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,
2001,FLORIDA,Altamonte Springs,"42,268","2,102","2,111",1,3,46,107,264,"1,496",185,9,,,,,,,
2001,FLORIDA,Apopka,"27,332","2,183","2,194",0,9,64,243,734,"1,018",115,11,,,,,,,
2001,FLORIDA,Atlantic Beach,"13,714",621,624,0,8,16,48,120,376,53,3,,,,,,,
2001,FLORIDA,Auburndale,"11,318",953,955,0,5,15,83,196,595,59,2,,,,,,,
2001,FLORIDA,Aventura,"25,922","2,672","2,672",1,3,53,43,150,"2,279",143,0,,,,,,,
2001,FLORIDA,Bartow,"15,737","1,387","1,393",0,17,45,129,237,847,112,6,,,,,,,
2001,FLORIDA,Belle Glade,"15,292","1,277","1,291",2,12,65,255,304,558,81,14,,,,,,,
2001,FLORIDA,Boca Raton,"76,701","3,039","3,041",1,14,65,116,665,"1,990",188,2,,,,,,,
2001,FLORIDA,Boynton Beach,"61,954","5,071","5,087",3,2,169,390,754,"3,173",580,16,,,,,,,
2001,FLORIDA,Bradenton,"50,787","3,393","3,396",5,20,98,221,725,"1,936",388,3,,,,,,,
2001,FLORIDA,Cape Coral,"104,936","3,670","3,701",2,13,34,297,855,"2,293",176,31,,,,,,,
2001,FLORIDA,Casselberry,"23,215","1,140","1,143",1,10,45,85,178,739,82,3,,,,,,,
2001,FLORIDA,Clearwater,"111,606","6,642","6,680",4,56,230,736,"1,188","3,979",449,38,,,,,,,
2001,FLORIDA,Cocoa,"16,837","1,969","1,971",3,19,102,257,375,"1,064",149,2,,,,,,,
2001,FLORIDA,Cocoa Beach,"12,805","1,095","1,096",0,9,22,106,128,793,37,1,,,,,,,
2001,FLORIDA,Coconut Creek,"44,695","1,137","1,140",2,1,17,76,222,656,163,3,,,,,,,
2001,FLORIDA,Cooper City,"28,663",692,696,0,0,14,45,161,435,37,4,,,,,,,
2001,FLORIDA,Coral Gables,"43,344","2,838","2,842",1,5,85,160,491,"1,875",221,4,,,,,,,
2001,FLORIDA,Coral Springs,"120,595","3,604","3,610",2,13,73,157,648,"2,393",318,6,,,,,,,
2001,FLORIDA,Crestview,"15,149",672,681,0,9,19,67,103,460,14,9,,,,,,,
2001,FLORIDA,Dania,"20,581","1,326","1,326",7,8,62,150,191,754,154,0,,,,,,,
2001,FLORIDA,Davie,"77,682","3,723","3,734",0,5,73,198,639,"2,385",423,11,,,,,,,
2001,FLORIDA,Daytona Beach,"65,773","6,501","6,534",8,61,315,740,"1,621","3,069",687,33,,,,,,,
2001,FLORIDA,Deerfield Beach,"66,256","2,274","2,278",4,29,70,244,350,"1,308",269,4,,,,,,,
2001,FLORIDA,Deland,"21,446","1,647","1,649",0,4,50,161,278,"1,074",80,2,,,,,,,
2001,FLORIDA,Delray Beach,"61,575","4,739","4,746",1,22,131,490,753,"2,884",458,7,,,,,,,
2001,FLORIDA,Dunedin,"36,616","1,256","1,258",3,8,20,72,252,861,40,2,,,,,,,
2001,FLORIDA,Edgewater,"19,152",539,541,0,8,5,54,102,338,32,2,,,,,,,
2001,FLORIDA,Eustis,"15,497",501,503,1,5,18,89,67,289,32,2,,,,,,,
2001,FLORIDA,Fernandina Beach,"10,822",491,492,1,5,9,40,93,327,16,1,,,,,,,
2001,FLORIDA,Fort Lauderdale,"156,346","12,581","12,629",29,48,837,767,"2,439","7,049","1,412",48,,,,,,,
2001,FLORIDA,Fort Myers,"49,457","5,603","5,621",7,40,419,737,959,"2,597",844,18,,,,,,,
2001,FLORIDA,Fort Pierce,"38,488","4,232","4,253",13,37,281,538,"1,022","2,024",317,21,,,,,,,
2001,FLORIDA,Fort Walton Beach,"20,491",965,969,1,4,25,71,190,622,52,4,,,,,,,
2001,FLORIDA,Gainesville,"97,920","6,245","6,268",4,85,303,474,"1,294","3,469",616,23,,,,,,,
2001,FLORIDA,Greenacres City,"28,283","1,642","1,642",0,9,33,83,426,963,128,0,,,,,,,
2001,FLORIDA,Gulfport,"12,852",765,771,1,4,30,68,140,442,80,6,,,,,,,
2001,FLORIDA,Haines City,"13,515",701,704,0,3,18,29,139,441,71,3,,,,,,,
2001,FLORIDA,Hallandale,"35,170","2,345","2,351",2,8,136,342,400,"1,235",222,6,,,,,,,
2001,FLORIDA,Hialeah,"232,286","12,248","12,311",9,40,461,"1,059","1,596","6,513","2,570",63,,,,,,,
2001,FLORIDA,Hialeah Gardens,"19,797","1,089","1,089",0,2,12,42,193,698,142,0,,,,,,,
2001,FLORIDA,Holly Hill,"12,433","1,049","1,052",1,9,33,73,234,617,82,3,,,,,,,
2001,FLORIDA,Hollywood,"142,968","9,250","9,291",7,51,393,592,"1,235","5,834","1,138",41,,,,,,,
2001,FLORIDA,Homestead,"32,736","3,740","3,740",2,19,224,466,752,"2,006",271,0,,,,,,,
2001,FLORIDA,Jacksonville,"754,679","51,250","51,561",75,287,"2,195","4,831","9,903","28,827","5,132",311,,,,,,,
2001,FLORIDA,Jacksonville Beach,"21,534","1,700","1,709",1,15,58,130,252,"1,160",84,9,,,,,,,
2001,FLORIDA,Jupiter,"40,347","1,598","1,601",0,4,32,101,389,980,92,3,,,,,,,
2001,FLORIDA,Key Biscayne,"10,779",339,339,0,0,2,7,47,266,17,0,,,,,,,
2001,FLORIDA,Key West,"26,138","2,445","2,445",2,13,67,129,431,"1,532",271,0,,,,,,,
2001,FLORIDA,Kissimmee,"49,053","3,447","3,457",0,21,117,317,679,"2,078",235,10,,,,,,,
2001,FLORIDA,Lady Lake,"12,134",270,270,0,3,5,30,59,146,27,0,,,,,,,
2001,FLORIDA,Lake City,"10,239","1,146","1,155",3,13,35,141,156,746,52,9,,,,,,,
2001,FLORIDA,Lakeland,"80,485","6,303","6,314",4,59,248,270,"1,326","3,899",497,11,,,,,,,
2001,FLORIDA,Lake Mary,"11,755",377,377,0,0,5,24,101,227,20,0,,,,,,,
2001,FLORIDA,Lake Wales,"10,458","1,203","1,203",0,4,44,64,230,768,93,0,,,,,,,
2001,FLORIDA,Lake Worth,"36,043","3,142","3,151",1,16,216,172,675,"1,732",330,9,,,,,,,
2001,FLORIDA,Largo,"71,169","2,974","2,990",1,23,65,213,521,"2,006",145,16,,,,,,,
2001,FLORIDA,Lauderdale Lakes,"32,527","1,289","1,292",1,23,80,178,210,516,281,3,,,,,,,
2001,FLORIDA,Lauderhill,"59,077","2,654","2,661",5,30,172,335,639,967,506,7,,,,,,,
2001,FLORIDA,Leesburg,"16,369","1,363","1,367",6,17,41,262,297,654,86,4,,,,,,,
2001,FLORIDA,Lighthouse Point,"11,046",217,217,1,0,4,5,37,156,14,0,,,,,,,
2001,FLORIDA,Longwood,"14,101","1,105","1,105",0,7,20,268,196,591,23,0,,,,,,,
2001,FLORIDA,Lynn Haven,"12,774",365,365,0,1,8,19,62,261,14,0,,,,,,,
2001,FLORIDA,Maitland,"12,330",554,554,0,5,6,26,155,309,53,0,,,,,,,
2001,FLORIDA,Marco Island,"15,265",353,357,0,1,0,17,63,262,10,4,,,,,,,
2001,FLORIDA,Margate,"55,306","1,682","1,685",1,5,60,137,308,969,202,3,,,,,,,
2001,FLORIDA,Melbourne,"73,232","5,299","5,316",3,43,166,513,802,"3,480",292,17,,,,,,,
2001,FLORIDA,Miami,"371,863","35,291","35,550",66,118,"2,719","4,307","6,218","16,635","5,228",259,,,,,,,
2001,FLORIDA,Miami Beach,"90,212","11,217","11,233",6,66,484,685,"1,607","7,000","1,369",16,,,,,,,
2001,FLORIDA,Miami Shores,"10,649",752,755,0,0,42,31,166,445,68,3,,,,,,,
2001,FLORIDA,Miami Springs,"14,067",680,681,0,3,51,40,108,416,62,1,,,,,,,
2001,FLORIDA,Miramar,"74,624","3,632","3,652",1,27,97,292,"1,201","1,656",358,20,,,,,,,
2001,FLORIDA,Naples,"21,520","1,010","1,010",1,6,22,45,141,760,35,0,,,,,,,
2001,FLORIDA,New Port Richey,"16,535","1,132","1,135",1,9,27,128,249,660,58,3,,,,,,,
2001,FLORIDA,New Smyrna Beach,"20,567",962,966,0,8,21,73,213,593,54,4,,,,,,,
2001,FLORIDA,Niceville,"11,987",182,182,0,1,4,23,23,123,8,0,,,,,,,
2001,FLORIDA,North Lauderdale,"33,100","1,390","1,390",0,16,63,190,253,703,165,0,,,,,,,
2001,FLORIDA,North Miami,"61,432","5,927","5,948",2,22,298,468,"1,103","3,218",816,21,,,,,,,
2001,FLORIDA,North Miami Beach,"41,843","3,019","3,025",3,19,167,166,574,"1,682",408,6,,,,,,,
2001,FLORIDA,North Palm Beach,"12,377",536,536,0,0,21,22,106,371,16,0,,,,,,,
2001,FLORIDA,North Port,"23,388",576,580,0,11,3,52,130,363,17,4,,,,,,,
2001,FLORIDA,Oakland Park,"31,768","1,893","1,893",2,18,104,130,323,"1,027",289,0,,,,,,,
2001,FLORIDA,Ocala,"47,133","4,533","4,544",4,31,147,512,917,"2,670",252,11,,,,,,,
2001,FLORIDA,Ocoee,"25,023","1,824","1,837",1,13,30,154,283,"1,201",142,13,,,,,,,
2001,FLORIDA,Oldsmar,"12,219",594,595,1,3,4,21,191,344,30,1,,,,,,,
2001,FLORIDA,Opa Locka,"15,338","2,472","2,472",10,13,194,356,616,"1,002",281,0,,,,,,,
2001,FLORIDA,Orlando,"190,769","22,363","22,423",15,135,"1,086","2,449","3,529","12,842","2,307",60,,,,,,,
2001,FLORIDA,Ormond Beach,"37,242","1,246","1,246",1,6,31,75,260,804,69,0,,,,,,,
2001,FLORIDA,Oviedo,"26,998",827,835,0,12,4,105,174,500,32,8,,,,,,,
2001,FLORIDA,Palatka,"10,293","1,667","1,673",2,15,42,159,389,"1,008",52,6,,,,,,,
2001,FLORIDA,Palm Bay,"81,471","4,286","4,299",4,50,97,588,698,"2,641",208,13,,,,,,,
2001,FLORIDA,Palm Beach,"10,739",276,277,0,3,3,9,49,194,18,1,,,,,,,
2001,FLORIDA,Palm Beach Gardens,"35,966","2,087","2,099",4,6,36,61,350,"1,479",151,12,,,,,,,
2001,FLORIDA,Palmetto,"12,897",756,758,1,8,29,107,141,415,55,2,,,,,,,
2001,FLORIDA,Palm Springs,"12,002",766,766,0,5,19,30,143,455,114,0,,,,,,,
2001,FLORIDA,Panama City,"37,361","2,503","2,512",2,33,93,160,424,"1,668",123,9,,,,,,,
2001,FLORIDA,Parkland,"14,193",349,349,0,0,3,14,43,281,8,0,,,,,,,
2001,FLORIDA,Pembroke Pines,"140,988","5,079","5,091",3,14,130,203,620,"3,470",639,12,,,,,,,
2001,FLORIDA,Pensacola,"57,713","2,932","2,943",3,41,93,382,676,"1,625",112,11,,,,,,,
2001,FLORIDA,Pinellas Park,"46,841","2,906","2,907",2,25,65,170,549,"1,913",182,1,,,,,,,
2001,FLORIDA,Plantation,"85,083","4,644","4,649",2,11,134,153,646,"3,194",504,5,,,,,,,
2001,FLORIDA,Plant City,"30,690","2,657","2,661",2,6,83,182,367,"1,726",291,4,,,,,,,
2001,FLORIDA,Pompano Beach,"80,217","4,769","4,784",1,28,205,649,681,"2,692",513,15,,,,,,,
2001,FLORIDA,Port Orange,"47,010","1,141","1,148",0,1,4,17,123,958,38,7,,,,,,,
2001,FLORIDA,Port St. Lucie,"91,069","2,575","2,586",5,20,34,195,556,"1,690",75,11,,,,,,,
2001,FLORIDA,Punta Gorda,"14,716",425,426,0,2,2,19,107,277,18,1,,,,,,,
2001,FLORIDA,Riviera Beach,"30,658","3,406","3,419",10,48,188,327,789,"1,469",575,13,,,,,,,
2001,FLORIDA,Rockledge,"20,693",849,850,0,1,9,29,171,577,62,1,,,,,,,
2001,FLORIDA,Royal Palm Beach,"22,081","1,276","1,277",0,14,21,78,455,624,84,1,,,,,,,
2001,FLORIDA,Safety Harbor,"17,649",403,405,0,5,4,33,90,253,18,2,,,,,,,
2001,FLORIDA,Sanford,"39,283","4,346","4,346",2,20,141,416,765,"2,556",446,0,,,,,,,
2001,FLORIDA,Sarasota,"54,081","4,671","4,690",2,36,201,428,"1,037","2,732",235,19,,,,,,,
2001,FLORIDA,Sebastian,"16,600",425,427,0,3,2,47,90,271,12,2,,,,,,,
2001,FLORIDA,Seminole,"11,172",580,582,1,5,10,34,101,398,31,2,,,,,,,
2001,FLORIDA,South Daytona,"13,518",609,609,1,4,9,34,171,346,44,0,,,,,,,
2001,FLORIDA,South Miami,"11,019",912,913,0,1,49,72,137,593,60,1,,,,,,,
2001,FLORIDA,St. Augustine,"11,892",924,928,0,5,31,123,126,582,57,4,,,,,,,
2001,FLORIDA,St. Cloud,"20,594","1,000","1,002",2,13,18,64,255,606,42,2,,,,,,,
2001,FLORIDA,St. Pete Beach,"10,186",539,539,0,2,3,24,120,366,24,0,,,,,,,
2001,FLORIDA,St. Petersburg,"254,664","20,534","20,667",21,149,"1,147","3,059","3,678","10,418","2,062",133,,,,,,,
2001,FLORIDA,Stuart,"15,012",922,923,0,5,26,90,136,628,37,1,,,,,,,
2001,FLORIDA,Sunny Isles Beach,"15,712",865,867,0,1,15,31,106,588,124,2,,,,,,,
2001,FLORIDA,Sunrise,"88,002","4,972","4,989",3,38,137,269,690,"3,353",482,17,,,,,,,
2001,FLORIDA,Sweetwater,"14,595",390,390,1,1,16,57,19,210,86,0,,,,,,,
2001,FLORIDA,Tallahassee,"154,527","12,151","12,177",7,127,428,"1,247","2,265","7,227",850,26,,,,,,,
2001,FLORIDA,Tamarac,"57,028","1,248","1,249",2,15,51,80,253,648,199,1,,,,,,,
2001,FLORIDA,Tampa,"311,310","34,848","35,045",34,212,"2,359","4,011","6,096","15,586","6,550",197,,,,,,,
2001,FLORIDA,Tarpon Springs,"21,547",749,751,1,5,30,101,152,435,25,2,,,,,,,
2001,FLORIDA,Temple Terrace,"21,460",873,876,1,4,38,44,178,498,110,3,,,,,,,
2001,FLORIDA,Titusville,"41,724","2,068","2,076",2,18,99,259,451,"1,051",188,8,,,,,,,
2001,FLORIDA,Venice,"18,224",446,446,0,2,6,30,65,330,13,0,,,,,,,
2001,FLORIDA,Vero Beach,"18,164",854,859,0,5,18,53,160,591,27,5,,,,,,,
2001,FLORIDA,Village of Pinecrest,"19,549",800,801,0,2,12,23,138,558,67,1,,,,,,,
2001,FLORIDA,Wellington,"39,206","1,509","1,515",0,14,22,85,380,877,131,6,,,,,,,
2001,FLORIDA,West Melbourne,"10,079",417,417,0,0,9,22,64,303,19,0,,,,,,,
2001,FLORIDA,Weston,"50,563",598,601,3,5,10,43,88,383,66,3,,,,,,,
2001,FLORIDA,West Palm Beach,"84,230","9,794","9,814",18,70,465,570,"1,610","5,786","1,275",20,,,,,,,
2001,FLORIDA,Wilton Manors,"13,026",715,716,1,1,25,44,143,441,60,1,,,,,,,
2001,FLORIDA,Winter Garden,"14,723",622,622,0,0,28,110,98,344,42,0,,,,,,,
2001,FLORIDA,Winter Haven,"27,173","1,964","1,964",2,19,75,57,412,"1,205",194,0,,,,,,,
2001,FLORIDA,Winter Park,"24,714","1,376","1,379",0,5,42,69,136,988,136,3,,,,,,,
2001,FLORIDA,Winter Springs,"32,487",725,726,0,4,7,102,147,416,49,1,,,,,,,
2001,FLORIDA,Zephyrhills,"11,114",746,750,0,5,14,25,232,409,61,4,,,,,,,
"2,001 ",,,,,,,,,,,,,,,,,,,,
2001,,,, ,,, ,, ,,,,,,,,,,,
"2,001 ",,,,,,,,,,,,,,,,,,,,
2001,GEORGIA,Acworth,"13,746",271,,1,0,7,34,22,182,25,,,,,,,,
2001,GEORGIA,Albany,"78,795","5,102",,7,37,213,279,"1,322","2,909",335,,,,,,,,
2001,GEORGIA,Alpharetta,"35,695","1,569",,0,6,24,81,202,"1,153",103,,,,,,,,
2001,GEORGIA,Americus,"17,423","1,497","1,501",0,5,42,102,249,"1,043",56,4,,,,,,,
2001,GEORGIA,Athens-Clarke County,"102,843","6,855","6,890",8,26,156,261,"1,069","4,956",379,35,,,,,,,
2001,GEORGIA,Atlanta,"426,511","52,195","52,323",144,367,"4,341","5,956","8,731","25,721","6,935",128,,,,,,,
2001,GEORGIA,Bainbridge,"12,005","1,037",,1,8,33,44,203,714,34,,,,,,,,
2001,GEORGIA,Brunswick,"15,976","1,993",,1,16,56,207,380,"1,220",113,,,,,,,,
2001,GEORGIA,Calhoun,"10,924",912,,0,4,3,17,110,748,30,,,,,,,,
2001,GEORGIA,Carrollton,"20,322","1,544","1,545",1,9,39,174,199,"1,045",77,1,,,,,,,
2001,GEORGIA,Cartersville,"16,309","1,186",,0,3,24,58,183,768,150,,,,,,,,
2001,GEORGIA,College Park,"20,874","2,406",,3,23,99,128,471,"1,316",366,,,,,,,,
2001,GEORGIA,Columbus,"190,262","12,143","12,154",9,18,440,524,"1,803","8,473",876,11,,,,,,,
2001,GEORGIA,Conyers,"10,947","1,031",,1,5,34,59,126,711,95,,,,,,,,
2001,GEORGIA,Cordele,"11,888","1,192","1,192",1,7,28,112,146,873,25,0,,,,,,,
2001,GEORGIA,Dalton,"28,585","2,119",,1,10,53,117,288,"1,515",135,,,,,,,,
2001,GEORGIA,Doraville,"10,100",574,574,0,1,37,35,63,364,74,0,,,,,,,
2001,GEORGIA,Douglas,"10,896","1,651","1,655",3,7,19,107,243,"1,190",82,4,,,,,,,
2001,GEORGIA,Douglasville,"20,549","2,344",,1,16,46,101,217,"1,811",152,,,,,,,,
2001,GEORGIA,Dublin,"16,239","1,054",,2,4,32,43,151,764,58,,,,,,,,
2001,GEORGIA,Fayetteville,"11,417",569,,0,0,13,15,34,475,32,,,,,,,,
2001,GEORGIA,Forest Park,"21,964","1,826",,1,2,129,85,354,"1,026",229,,,,,,,,
2001,GEORGIA,Gainesville,"26,195","2,241","2,244",1,6,45,117,233,"1,697",142,3,,,,,,,
2001,GEORGIA,Garden City,"11,561",832,855,4,5,24,112,168,438,81,23,,,,,,,
2001,GEORGIA,Griffin,"24,017","2,410",,1,5,65,221,356,"1,571",191,,,,,,,,
2001,GEORGIA,Hinesville,"31,125","1,979",,0,11,47,130,306,"1,393",92,,,,,,,,
2001,GEORGIA,Kennesaw,"22,198",467,,0,0,7,15,51,370,24,,,,,,,,
2001,GEORGIA,Kingsland,"10,759",587,,0,6,11,61,105,374,30,,,,,,,,
2001,GEORGIA,LaGrange,"26,625","2,579",,2,13,57,71,320,"2,029",87,,,,,,,,
2001,GEORGIA,Lawrenceville,"22,937",947,948,1,3,18,33,158,634,100,1,,,,,,,
2001,GEORGIA,Lilburn,"11,580",486,,0,2,25,16,126,295,22,,,,,,,,
2001,GEORGIA,Macon,"99,601","10,590","10,650",18,60,275,351,"2,291","6,272","1,323",60,,,,,,,
2001,GEORGIA,Marietta,"60,165","3,564",,5,32,177,168,543,"2,197",442,,,,,,,,
2001,GEORGIA,Milledgeville,"19,209",851,,3,1,14,36,142,621,34,,,,,,,,
2001,GEORGIA,Moultrie,"14,734","1,591","1,597",4,4,50,171,295,978,89,6,,,,,,,
2001,GEORGIA,Newnan,"16,634","1,043","1,045",2,1,23,47,164,747,59,2,,,,,,,
2001,GEORGIA,Peachtree City,"32,342",293,,0,0,1,7,22,198,65,,,,,,,,
2001,GEORGIA,Powder Springs,"12,782",275,275,0,1,4,9,59,173,29,0,,,,,,,
2001,GEORGIA,Riverdale,"12,779","1,231",,0,3,26,112,151,802,137,,,,,,,,
2001,GEORGIA,Rome,"35,824","2,539","2,553",3,14,54,317,396,"1,589",166,14,,,,,,,
2001,GEORGIA,Roswell,"81,248","2,122","2,127",2,12,42,95,398,"1,395",178,5,,,,,,,
2001,GEORGIA,Savannah,"134,682","12,458","12,511",26,70,840,602,"2,080","7,400","1,440",53,,,,,,,
2001,GEORGIA,Smyrna,"41,988","2,345",,3,9,133,71,376,"1,513",240,,,,,,,,
2001,GEORGIA,Snellville,"15,721",635,,0,2,12,16,84,492,29,,,,,,,,
2001,GEORGIA,St. Marys,"14,093",597,607,0,1,9,37,83,440,27,10,,,,,,,
2001,GEORGIA,Statesboro,"23,245","1,031","1,032",1,7,25,24,200,740,34,1,,,,,,,
2001,GEORGIA,Thomasville,"18,600","1,619","1,622",2,6,40,43,354,"1,122",52,3,,,,,,,
2001,GEORGIA,Tifton,"15,423","1,585","1,585",1,17,42,81,191,"1,179",74,0,,,,,,,
2001,GEORGIA,Union City,"11,901","1,111","1,111",0,0,36,43,117,720,195,0,,,,,,,
2001,GEORGIA,Valdosta,"44,779","3,253",,2,28,99,164,465,"2,331",164,,,,,,,,
2001,GEORGIA,Vidalia,"10,744",741,745,0,8,17,40,143,501,32,4,,,,,,,
2001,GEORGIA,Warner Robins,"49,981","3,545",,3,16,99,150,647,"2,471",159,,,,,,,,
2001,GEORGIA,Waycross,"15,703","1,111",,0,7,34,34,146,836,54,,,,,,,,
2001,GEORGIA,Winder,"10,447",961,,3,15,15,39,116,696,77,,,,,,,,
2001,GEORGIA,Woodstock,"10,292",441,,0,1,9,4,36,385,6,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,
2001,,,, ,, ,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,
2001,HAWAII,Honolulu,"885,605","48,442","48,838",20,293,999,"1,141","7,340","33,052","5,597",396,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,, ,,,,,,,,,,,,
2001,IDAHO,Blackfoot,"10,637",345,346,0,4,2,16,45,257,21,1,,,,,,,
2001,IDAHO,Boise,"189,671","8,730","8,798",2,84,78,471,"1,347","6,163",585,68,,,,,,,
2001,IDAHO,Caldwell,"26,510","1,855","1,864",3,13,10,146,266,"1,271",146,9,,,,,,,
2001,IDAHO,Coeur d'Alene,"35,236","2,315","2,330",2,12,16,128,350,"1,705",102,15,,,,,,,
2001,IDAHO,Garden City,"10,846",677,688,0,7,8,41,108,454,59,11,,,,,,,
2001,IDAHO,Idaho Falls,"51,791","1,964","1,982",1,18,6,94,288,"1,458",99,18,,,,,,,
2001,IDAHO,Lewiston,"31,550","1,279","1,288",2,3,3,45,254,919,53,9,,,,,,,
2001,IDAHO,Meridian,"35,649","1,106","1,117",0,9,3,38,184,825,47,11,,,,,,,
2001,IDAHO,Moscow,"21,736",565,568,0,7,6,4,69,468,11,3,,,,,,,
2001,IDAHO,Mountain Home,"11,376",423,424,0,2,2,22,59,319,19,1,,,,,,,
2001,IDAHO,Nampa,"52,951","2,766","2,783",3,40,10,175,425,"1,946",167,17,,,,,,,
2001,IDAHO,Pocatello,"52,542","1,787","1,804",0,21,8,135,266,"1,295",62,17,,,,,,,
2001,IDAHO,Post Falls,"17,608",572,574,0,5,3,22,98,416,28,2,,,,,,,
2001,IDAHO,Rexburg,"17,618",309,309,0,3,0,12,28,256,10,0,,,,,,,
2001,IDAHO,Twin Falls,"35,190","2,261","2,281",1,17,25,119,457,"1,525",117,20,,,,,,,
"2,001 ",,,,,,,,,,,,,,,,,,,,
2001,,,, ,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,
2001,"ILLINOIS6,7",Aurora,"143,715",,,8,,256,605,"1,064","3,672",356,32,,,,,,,
2001,"ILLINOIS6,7",Chicago,"2,910,709",,,666,,"18,433","25,533","25,966","97,496","27,694","1,004",,,,,,,
2001,"ILLINOIS6,7",Joliet,"106,760",,,5,,209,477,887,"3,128",387,65,,,,,,,
2001,"ILLINOIS6,7",Naperville,"129,009",,,0,,25,67,254,"2,057",74,24,,,,,,,
2001,"ILLINOIS6,7",Peoria,"113,509",,,14,,345,536,"1,840","5,649",932,105,,,,,,,
2001,"ILLINOIS6,7",Rockford,"150,877",,,11,,446,672,"2,502","8,143","1,017",34,,,,,,,
2001,"ILLINOIS6,7",Springfield,"112,019",,,14,,243,744,"1,830","5,366",418,59,,,,,,,
2001,,,, ,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,
2001,INDIANA,Bedford,"13,846",599,600,0,3,1,13,80,468,34,1,,,,,,,
2001,INDIANA,Beech Grove,"14,964",460,463,0,2,8,2,93,286,69,3,,,,,,,
2001,INDIANA,Bloomington,"69,681","2,555","2,564",2,28,29,54,399,"1,938",105,9,,,,,,,
2001,INDIANA,Brownsburg,"14,602",412,414,0,3,1,56,39,297,16,2,,,,,,,
2001,INDIANA,Carmel,"37,946",715,728,0,3,5,8,100,569,30,13,,,,,,,
2001,INDIANA,Chesterton,"10,547",316,318,0,1,3,7,46,232,27,2,,,,,,,
2001,INDIANA,Clarksville,"21,521","2,103","2,103",1,8,33,15,142,"1,662",242,0,,,,,,,
2001,INDIANA,Columbus,"39,279","2,499","2,505",2,15,7,58,213,"2,138",66,6,,,,,,,
2001,INDIANA,Connersville,"15,498",937,940,0,3,4,21,102,780,27,3,,,,,,,
2001,INDIANA,Crawfordsville,"15,329",863,864,0,1,8,12,158,666,18,1,,,,,,,
2001,INDIANA,Crown Point,"19,918",323,324,0,2,1,8,37,242,33,1,,,,,,,
2001,INDIANA,Dyer,"13,973",332,334,0,3,8,3,50,235,33,2,,,,,,,
2001,INDIANA,East Chicago,"32,597","2,863",,9,14,161,810,426,"1,102",341,,,,,,,,
2001,INDIANA,Elkhart,"52,166","4,771","4,802",8,29,224,14,"1,027","3,107",362,31,,,,,,,
2001,INDIANA,Evansville,"122,267","6,667","6,734",8,52,164,483,"1,164","4,327",469,67,,,,,,,
2001,INDIANA,Fort Wayne,"206,886","13,291","13,402",23,92,609,348,"2,013","9,016","1,190",111,,,,,,,
2001,INDIANA,Frankfort,"16,756",840,842,1,7,3,30,116,637,46,2,,,,,,,
2001,INDIANA,Franklin,"19,573","1,102","1,102",0,9,3,1,96,927,66,0,,,,,,,
2001,INDIANA,Gary,"103,325","6,132",,82,77,461,281,"1,742","2,249","1,240",,,,,,,,
2001,INDIANA,Goshen,"29,549","1,631","1,632",4,3,9,228,118,"1,224",45,1,,,,,,,
2001,INDIANA,Greenfield,"14,682",243,243,0,1,1,8,36,181,16,0,,,,,,,
2001,INDIANA,Greenwood,"36,240","1,970","1,975",0,10,7,124,160,"1,577",92,5,,,,,,,
2001,INDIANA,Griffith,"17,432",622,627,0,7,11,20,49,472,63,5,,,,,,,
2001,INDIANA,Hammond4,"83,516","5,886","5,966",14,43,299,406,870,"3,455",799,80,,,,,,,
2001,INDIANA,Highland4,"23,679","1,131","1,134",2,1,19,18,98,859,134,3,,,,,,,
