Year,State,City by state,Population,Crime Index total,Modified Crime Index total1,Murder      and non-negligent         man-     slaughter,Forcible rape,Robbery,Aggravated assault,Burglary,Larceny-theft,Motor vehicle theft,Arson1,,,,,,,
2001,ARIZONA,Paradise Valley,"14,135",566,566,0,0,4,15,323,176,48,0,,,,,,,
2001,ARIZONA,Payson,"14,089",576,580,1,9,3,24,118,392,29,4,,,,,,,
2001,ARIZONA,Peoria,"112,096","5,332","5,347",3,22,73,242,"1,102","3,018",872,15,,,,,,,
2001,ARIZONA,Phoenix,"1,366,542","104,975","105,396",209,400,"4,629","5,294","16,673","55,190","22,580",421,,,,,,,
2001,ARIZONA,Prescott,"35,107","1,870","1,887",1,8,14,99,307,"1,333",108,17,,,,,,,
2001,ARIZONA,Prescott Valley,"24,346",750,753,1,5,6,69,122,515,32,3,,,,,,,
2001,ARIZONA,Scottsdale,"209,686","9,905","9,963",10,58,196,355,"2,660","5,251","1,375",58,,,,,,,
2001,ARIZONA,Sedona,"10,543",355,355,0,4,6,10,61,256,18,0,,,,,,,
2001,ARIZONA,Sierra Vista,"39,076","1,509","1,520",0,4,18,68,228,"1,085",106,11,,,,,,,
2001,ARIZONA,Surprise,"31,910","1,007","1,011",1,1,7,63,205,648,82,4,,,,,,,
2001,ARIZONA,Tempe,"164,088","16,534","16,571",5,72,327,533,"2,273","10,497","2,827",37,,,,,,,
2001,ARIZONA,Tucson,"503,461","49,757","50,112",42,321,"1,698","2,762","6,553","31,217","7,164",355,,,,,,,
2001,ARIZONA,Yuma,"80,185","3,473","3,506",1,24,41,326,639,"2,081",361,33,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,
2001,,,, ,, ,,,,,,,,,,,,,,
2001,ARKANSAS,,,,,,,,,,,,,,,,,,,
2001,ARKANSAS,Arkadelphia,"10,988",190,191,0,0,3,1,13,166,7,1,,,,,,,
2001,ARKANSAS,Benton,"22,059","1,819","1,823",0,6,10,56,610,"1,076",61,4,,,,,,,
2001,ARKANSAS,Bentonville,"19,868",906,906,0,6,5,35,250,578,32,0,,,,,,,
2001,ARKANSAS,Blytheville,"18,400","2,086","2,099",6,19,39,191,474,"1,264",93,13,,,,,,,
2001,ARKANSAS,Cabot,"15,368",989,991,0,1,4,48,69,845,22,2,,,,,,,
2001,ARKANSAS,Camden,"13,246",440,440,3,9,14,25,87,286,16,0,,,,,,,
2001,ARKANSAS,Conway,"43,469","2,157","2,157",1,27,29,25,122,"1,886",67,0,,,,,,,
2001,ARKANSAS,El Dorado,"21,681","1,533","1,544",1,15,32,230,423,749,83,11,,,,,,,
2001,ARKANSAS,Fayetteville,"58,453","3,247","3,278",0,25,27,149,388,"2,509",149,31,,,,,,,
2001,ARKANSAS,Forrest City,"14,877","1,473","1,475",3,6,41,288,204,874,57,2,,,,,,,
2001,ARKANSAS,Fort Smith,"80,829","7,404","7,439",8,56,132,428,"1,149","5,266",365,35,,,,,,,
2001,ARKANSAS,Harrison,"12,237",474,474,0,3,1,19,46,378,27,0,,,,,,,
2001,ARKANSAS,Hope,"10,690",533,533,2,3,8,46,132,313,29,0,,,,,,,
2001,ARKANSAS,Little Rock,"184,413","16,866","17,034",34,92,617,"1,130","3,630","9,841","1,522",168,,,,,,,
2001,ARKANSAS,Magnolia,"10,934",690,695,0,6,18,94,141,392,39,5,,,,,,,
2001,ARKANSAS,Mountain Home,"11,089",248,249,1,2,0,9,11,209,16,1,,,,,,,
2001,ARKANSAS,North Little Rock,"60,855","6,162","6,178",10,47,183,267,949,"4,158",548,16,,,,,,,
2001,ARKANSAS,Paragould,"22,171",591,592,0,11,8,11,93,376,92,1,,,,,,,
2001,ARKANSAS,Rogers,"39,100","1,595","1,596",2,10,8,73,154,"1,282",66,1,,,,,,,
2001,ARKANSAS,Russellville,"23,848","1,750","1,750",0,15,17,194,187,"1,275",62,0,,,,,,,
2001,ARKANSAS,Searcy,"19,060","1,070","1,070",1,4,10,73,71,857,54,0,,,,,,,
2001,ARKANSAS,Siloam Springs,"10,919",528,528,0,7,3,18,68,403,29,0,,,,,,,
2001,ARKANSAS,Springdale,"46,118","1,576","1,579",0,22,18,100,195,"1,127",114,3,,,,,,,
2001,ARKANSAS,Texarkana,"26,633","2,339","2,354",1,16,37,162,242,"1,764",117,15,,,,,,,
2001,ARKANSAS,Van Buren,"19,119",878,881,2,8,4,43,120,650,51,3,,,,,,,
2001,ARKANSAS,West Memphis,"27,859","1,758","1,767",2,21,120,193,417,814,191,9,,,,,,,
"2,001 ",,,,,,,,,,,,,,,,,,,,
2001,,,,,, , , ,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,
2001,CALIFORNIA,Adelanto,"18,467",464,464,1,6,13,102,174,80,88,0,,,,,,,
2001,CALIFORNIA,Agoura Hills,"20,919",301,306,0,4,3,35,84,158,17,5,,,,,,,
2001,CALIFORNIA,Alameda,"73,602","3,057","3,081",2,6,94,264,436,"1,927",328,24,,,,,,,
2001,CALIFORNIA,Albany,"16,750",837,842,0,3,33,26,150,511,114,5,,,,,,,
2001,CALIFORNIA,Alhambra,"87,399","2,067","2,110",3,8,145,104,330,"1,098",379,43,,,,,,,
2001,CALIFORNIA,Anaheim,"334,110","11,225","11,272",8,91,484,733,"1,798","6,328","1,783",47,,,,,,,
2001,CALIFORNIA,Antioch,"92,214","3,184","3,214",8,16,147,423,556,"1,414",620,30,,,,,,,
2001,CALIFORNIA,Apple Valley,"55,247","1,927","1,939",2,10,42,112,530,"1,025",206,12,,,,,,,
2001,CALIFORNIA,Arcadia,"54,040","1,532","1,540",2,5,63,66,322,942,132,8,,,,,,,
2001,CALIFORNIA,Arcata,"16,960",800,811,0,3,4,14,107,631,41,11,,,,,,,
2001,CALIFORNIA,Arroyo Grande,"16,146",351,355,0,4,10,11,54,265,7,4,,,,,,,
2001,CALIFORNIA,Artesia,"16,684",556,564,3,5,49,67,81,245,106,8,,,,,,,
2001,CALIFORNIA,Arvin,"13,197",481,503,1,11,15,42,126,213,73,22,,,,,,,
2001,CALIFORNIA,Atascadero,"26,902",786,800,0,10,4,82,140,493,57,14,,,,,,,
2001,CALIFORNIA,Atwater,"23,543","1,110","1,118",1,5,20,215,266,509,94,8,,,,,,,
2001,CALIFORNIA,Auburn,"12,694",368,370,0,3,1,24,63,229,48,2,,,,,,,
2001,CALIFORNIA,Avenal,"14,947",118,122,0,0,1,22,53,38,4,4,,,,,,,
2001,CALIFORNIA,Azusa,"45,543","1,414","1,425",3,16,69,96,317,685,228,11,,,,,,,
2001,CALIFORNIA,Bakersfield,"251,648","10,255","10,502",22,34,324,460,"2,035","6,226","1,154",247,,,,,,,
2001,CALIFORNIA,Baldwin Park,"77,246","1,868","1,887",5,16,102,156,343,717,529,19,,,,,,,
2001,CALIFORNIA,Banning,"24,000",754,754,3,8,28,168,283,187,77,0,, ,,,,,
2001,CALIFORNIA,Barstow,"21,511","1,143","1,155",2,12,51,96,315,549,118,12,,,,,,,
2001,CALIFORNIA,Beaumont,"11,596",453,453,1,3,16,30,134,226,43,0,,,,,,,
2001,CALIFORNIA,Bell,"37,345",817,819,1,11,94,112,218,168,213,2,,,,,,,
2001,CALIFORNIA,Bellflower,"74,232","2,756","2,789",7,16,208,206,515,"1,218",586,33,,,,,,,
2001,CALIFORNIA,Bell Gardens,"44,873","1,144",,5,3,104,149,228,408,247,,,,,,,,
2001,CALIFORNIA,Belmont,"25,590",517,518,0,3,7,58,153,248,48,1,,,,,,,
2001,CALIFORNIA,Benicia,"27,364",539,554,1,2,19,16,146,308,47,15,,,,,,,
2001,CALIFORNIA,Berkeley,"104,652","9,470","9,521",1,17,398,326,"1,453","6,054","1,221",51,,,,,,,
2001,CALIFORNIA,Beverly Hills,"34,412","1,649","1,651",1,2,85,45,356,"1,081",79,2,,,,,,,
2001,CALIFORNIA,Blythe,"12,381",843,865,2,7,11,137,203,460,23,22,,,,,,,
2001,CALIFORNIA,Brawley,"22,462",794,803,1,4,24,95,146,473,51,9,,,,,,,
2001,CALIFORNIA,Brea,"36,068","1,473","1,484",0,9,38,44,229,"1,022",131,11,,,,,,,
2001,CALIFORNIA,Brentwood,"23,735",853,861,0,7,8,50,88,571,129,8,,,,,,,
2001,CALIFORNIA,Buena Park,"79,737","2,118","2,130",2,16,105,120,377,"1,091",407,12,,,,,,,
2001,CALIFORNIA,Burbank,"102,180","3,377","3,387",3,7,122,198,503,"2,013",531,10,,,,,,,
2001,CALIFORNIA,Burlingame,"28,681",980,992,0,10,21,45,176,616,112,12,,,,,,,
2001,CALIFORNIA,Calabasas,"20,405",353,355,0,1,5,34,77,195,41,2,,,,,,,
2001,CALIFORNIA,Calexico,"27,613","1,186","1,194",0,5,29,40,364,384,364,8,,,,,,,
2001,CALIFORNIA,Camarillo,"58,138","1,204","1,225",0,9,27,66,187,835,80,21,,,,,,,
2001,CALIFORNIA,Campbell,"38,847","1,186","1,193",0,12,22,62,160,833,97,7,,,,,,,
2001,CALIFORNIA,Canyon Lake,"10,137",239,240,0,3,1,29,61,123,22,1,,,,,,,
2001,CALIFORNIA,Capitola,"10,219",888,888,0,4,10,52,105,684,33,0,,,,,,,
2001,CALIFORNIA,Carlsbad,"79,701","2,061","2,072",2,11,41,143,413,"1,252",199,11,,,,,,,
2001,CALIFORNIA,Carpinteria,"14,458",217,217,1,0,6,15,48,134,13,0,,,,,,,
2001,CALIFORNIA,Carson,"91,398","3,439","3,497",8,13,187,457,551,"1,475",748,58,,,,,,,
2001,CALIFORNIA,Cathedral City,"43,440","2,010","2,010",7,31,86,148,463,798,477,0,,,,,,,
2001,CALIFORNIA,Ceres,"35,252","2,452","2,461",0,11,43,155,311,"1,587",345,9,,,,,,,
2001,CALIFORNIA,Cerritos,"52,445","2,247","2,260",3,2,94,76,332,"1,288",452,13,,,,,,,
2001,CALIFORNIA,Chico,"61,068","2,332","2,428",2,36,68,118,491,"1,334",283,96,,,,,,,
2001,CALIFORNIA,Chino,"68,416","2,441","2,478",2,13,90,197,428,"1,333",378,37,,,,,,,
2001,CALIFORNIA,Chino Hills,"68,028","1,233","1,240",1,3,31,52,335,658,153,7,,,,,,,
2001,CALIFORNIA,Chowchilla,"11,334",423,433,0,3,2,40,108,236,34,10,,,,,,,
2001,CALIFORNIA,Chula Vista,"176,781","7,644","7,702",8,69,242,610,"1,009","3,999","1,707",58,, ,,,,,
2001,CALIFORNIA,Claremont,"34,630","1,088","1,092",0,12,31,53,308,586,98,4,,,,,,,
2001,CALIFORNIA,Clayton,"10,962",186,188,0,1,3,2,48,116,16,2,,,,,,,
2001,CALIFORNIA,Clearlake,"13,386",691,697,1,5,9,55,220,346,55,6,,,,,,,
2001,CALIFORNIA,Clovis,"69,740","3,082","3,111",0,15,41,59,523,"2,016",428,29,,,,,,,
2001,CALIFORNIA,Coachella,"23,146",935,940,3,4,29,118,231,403,147,5,,,,,,,
2001,CALIFORNIA,Coalinga,"11,885",357,361,0,1,3,28,66,242,17,4,,,,,,,
