,State,City,Year,total_crime,crime_per_person,crime_change
,Michigan,Saginaw,2013.00,2477.00,0.05,-0.01
,Minnesota,Duluth,2013.00,4625.00,0.05,-0.01
,Minnesota,Rochester,2013.00,2772.00,0.03,0.00
,Minnesota,St. Cloud,2013.00,3092.00,0.05,-0.01
,Mississippi,Hattiesburg,2013.00,2913.00,0.06,0.00
,Mississippi,Jackson,2013.00,11915.00,0.07,0.00
,Missouri,Cape Girardeau,2013.00,2248.00,0.06,-0.01
,Missouri,Columbia,2013.00,4775.00,0.04,0.00
,Missouri,Jefferson City,2013.00,1646.00,0.04,0.00
,Missouri,Joplin,2013.00,4165.00,0.08,0.00
,Missouri,Kansas City,2013.00,30512.00,0.07,0.00
,Missouri,Springfield,2013.00,16585.00,0.10,-0.01
,Missouri,St. Joseph,2013.00,4712.00,0.06,0.00
,Missouri,St. Louis,2013.00,26164.00,0.08,0.00
,Montana,Billings,2013.00,5964.00,0.06,-0.01
,Montana,Great Falls,2013.00,2832.00,0.05,0.00
,Nebraska,Grand Island,2013.00,2525.00,0.05,0.00
,Nebraska,Lincoln,2013.00,10344.00,0.04,0.00
,Nevada,Reno,2013.00,8334.00,0.04,0.00
,New Jersey,Ocean City,2013.00,452.00,0.04,0.00
,New Jersey,Trenton,2013.00,3443.00,0.04,-0.01
,New Mexico,Albuquerque,2013.00,34856.00,0.06,0.00
,New Mexico,Farmington,2013.00,1965.00,0.04,0.00
,New Mexico,Las Cruces,2013.00,4681.00,0.05,0.00
,New Mexico,Santa Fe,2013.00,0.00,NA,NA
,New York,Binghamton,2013.00,2633.00,0.06,-0.01
,New York,Elmira,2013.00,1108.00,0.04,0.00
,New York,Glens Falls,2013.00,365.00,0.03,0.00
,New York,Ithaca,2013.00,0.00,NA,NA
,New York,Kingston,2013.00,761.00,0.03,0.00
,New York,Rochester,2013.00,12158.00,0.06,-0.01
,New York,Syracuse,2013.00,7665.00,0.05,-0.01
,North Carolina,Asheville,2013.00,0.00,NA,NA
,North Carolina,Burlington,2013.00,2997.00,0.06,-0.01
,North Carolina,Fayetteville,2013.00,13431.00,0.07,-0.01
,North Carolina,Goldsboro,2013.00,2627.00,0.07,0.00
,North Carolina,New Bern,2013.00,1687.00,0.06,-0.01
,North Carolina,Raleigh,2013.00,14823.00,0.03,NA
,North Carolina,Rocky Mount,2013.00,3881.00,0.07,-0.01
,North Carolina,Wilmington,2013.00,6236.00,0.06,0.00
,North Dakota,Bismarck,2013.00,1924.00,0.03,0.00
,North Dakota,Fargo,2013.00,3655.00,0.03,0.00
,North Dakota,Grand Forks,2013.00,1487.00,0.03,0.00
,Ohio,Akron,2013.00,11219.00,0.06,0.00
,Ohio,Cincinnati,2013.00,20057.00,0.07,0.00
,Ohio,Columbus,2013.00,0.00,NA,NA
,Ohio,Dayton,2013.00,8885.00,0.06,0.00
,Ohio,Lima,2013.00,2298.00,0.06,0.00
,Ohio,Mansfield,2013.00,3336.00,0.07,0.00
,Ohio,Springfield,2013.00,4890.00,0.08,0.00
,Ohio,Toledo,2013.00,2902.00,0.01,0.00
,Oklahoma,Enid,2013.00,2522.00,0.05,-0.01
,Oklahoma,Lawton,2013.00,5946.00,0.06,0.00
,Oklahoma,Oklahoma City,2013.00,37477.00,0.06,-0.01
,Oklahoma,Tulsa,2013.00,24805.00,0.06,0.00
,Oregon,Albany,2013.00,2059.00,0.04,-0.01
,Oregon,Corvallis,2013.00,1651.00,0.03,0.00
,Oregon,Eugene,2013.00,8322.00,0.05,NA
,Oregon,Medford,2013.00,5296.00,0.07,0.00
,Oregon,Salem,2013.00,7302.00,0.05,0.00
,Pennsylvania,Altoona,2013.00,1166.00,0.03,0.00
,Pennsylvania,Erie,2013.00,3665.00,0.04,-0.01
,Pennsylvania,Gettysburg,2013.00,168.00,0.02,0.00
,Pennsylvania,Johnstown,2013.00,931.00,0.04,0.00
,Pennsylvania,Lancaster,2013.00,3189.00,0.05,-0.01
,Pennsylvania,Lebanon,2013.00,888.00,0.03,-0.01
,Pennsylvania,Pittsburgh,2013.00,12306.00,0.04,0.00
,Pennsylvania,Reading,2013.00,3542.00,0.04,0.00
,Pennsylvania,State College,2013.00,748.00,0.01,0.00
,Pennsylvania,Williamsport,2013.00,1268.00,0.04,0.00
,South Carolina,Columbia,2013.00,8941.00,0.07,-0.01
,South Carolina,Florence,2013.00,3229.00,0.09,0.00
,South Carolina,Spartanburg,2013.00,3195.00,0.09,-0.01
,South Carolina,Sumter,2013.00,2401.00,0.06,0.00
,South Dakota,Rapid City,2013.00,3027.00,0.04,0.00
,South Dakota,Sioux Falls,2013.00,5566.00,0.03,0.00
,Tennessee,Chattanooga,2013.00,13160.00,0.08,0.00
,Tennessee,Clarksville,2013.00,4889.00,0.03,0.00
,Tennessee,Cleveland,2013.00,2779.00,0.07,0.00
,Tennessee,Jackson,2013.00,4380.00,0.07,-0.01
,Tennessee,Johnson City,2013.00,2869.00,0.04,0.00
,Tennessee,Knoxville,2013.00,12979.00,0.07,0.00
,Tennessee,Memphis,2013.00,50698.00,0.08,0.00
,Tennessee,Morristown,2013.00,1745.00,0.06,0.00
,Texas,Abilene,2013.00,5246.00,0.04,0.01
,Texas,Amarillo,2013.00,9440.00,0.05,0.01
,Texas,Corpus Christi,2013.00,16540.00,0.05,0.00
,Texas,El Paso,2013.00,18080.00,0.03,0.00
,Texas,Laredo,2013.00,11509.00,0.05,0.00
,Texas,Longview,2013.00,3823.00,0.05,-0.01
,Texas,Lubbock,2013.00,13386.00,0.06,0.00
,Texas,Midland,2013.00,3541.00,0.03,0.00
,Texas,Odessa,2013.00,5454.00,0.05,0.00
,Texas,San Angelo,2013.00,3855.00,0.04,0.00
,Texas,Texarkana,2013.00,2629.00,0.07,0.00
,Texas,Tyler,2013.00,4492.00,0.04,NA
,Texas,Victoria,2013.00,2875.00,0.04,0.00
,Texas,Waco,2013.00,5937.00,0.05,0.00
,Texas,Wichita Falls,2013.00,4959.00,0.05,0.00
,Utah,Logan,2013.00,895.00,0.02,NA
,Utah,Salt Lake City,2013.00,14936.00,0.08,0.01
,Utah,St. George,2013.00,1861.00,0.02,0.00
,Virginia,Charlottesville,2013.00,1682.00,0.04,0.00
,Virginia,Harrisonburg,2013.00,1473.00,0.03,0.00
,Virginia,Lynchburg,2013.00,2304.00,0.03,0.00
,Virginia,Richmond,2013.00,10031.00,0.05,0.00
,Virginia,Roanoke,2013.00,4901.00,0.05,0.00
,Virginia,Winchester,2013.00,1095.00,0.04,0.00
,Washington,Bellingham,2013.00,0.00,NA,NA
,Washington,Longview,2013.00,2591.00,0.07,0.00
,Washington,Walla Walla,2013.00,0.00,NA,NA
,Washington,Wenatchee,2013.00,0.00,NA,NA
,Washington,Yakima,2013.00,5155.00,0.06,0.00
,West Virginia,Beckley,2013.00,0.00,NA,NA
,West Virginia,Morgantown,2013.00,775.00,0.02,0.00
,Wisconsin,Appleton,2013.00,1480.00,0.02,0.00
,Wisconsin,Eau Claire,2013.00,1693.00,0.03,0.00
,Wisconsin,Fond du Lac,2013.00,1332.00,0.03,0.00
,Wisconsin,Green Bay,2013.00,3174.00,0.03,0.00
,Wisconsin,Madison,2013.00,8613.00,0.04,0.00
,Wisconsin,Racine,2013.00,3307.00,0.04,0.00
,Wisconsin,Wausau,2013.00,1055.00,0.03,-0.01
,Wyoming,Casper,2013.00,2124.00,0.04,-0.01
,Wyoming,Cheyenne,2013.00,2198.00,0.04,-0.01
,Alabama,Mobile,2013.00,14552.00,0.06,-0.01
,Louisiana,Baton Rouge,2013.00,13545.00,0.06,0.00
,Montana,Missoula,2013.00,3108.00,0.05,0.00
,North Carolina,Jacksonville,2013.00,0.00,NA,NA
,Oregon,Grants Pass,2013.00,2667.00,0.08,NA
,West Virginia,Charleston,2013.00,0.00,NA,NA
,Wisconsin,Sheboygan,2013.00,1373.00,0.03,0.00
,North Carolina,Greenville,2013.00,4417.00,0.05,0.00
,West Virginia,Wheeling,2013.00,0.00,NA,NA
,Alabama,Decatur,2014.00,2563.00,0.05,0.00
,Alabama,Dothan,2014.00,0.00,NA,NA
,Alabama,Gadsden,2014.00,3164.00,0.09,0.00
,Alabama,Huntsville,2014.00,10628.00,0.06,0.00
,Alabama,Montgomery,2014.00,10071.00,0.05,0.00
,Alabama,Tuscaloosa,2014.00,4604.00,0.05,0.00
,Alaska,Anchorage,2014.00,14136.00,0.05,0.00
,Alaska,Fairbanks,2014.00,1461.00,0.04,0.00
,Arizona,Flagstaff,2014.00,3295.00,0.05,-0.01
,Arizona,Prescott,2014.00,1370.00,0.03,0.00
,Arizona,Tucson,2014.00,0.00,NA,NA
,Arizona,Yuma,2014.00,3854.00,0.04,-0.01
,Arkansas,Fort Smith,2014.00,5335.00,0.06,0.01
,Arkansas,Hot Springs,2014.00,0.00,NA,NA
,Arkansas,Jonesboro,2014.00,3552.00,0.05,0.00
,Arkansas,Pine Bluff,2014.00,3232.00,0.07,0.00
,California,Bakersfield,2014.00,16273.00,0.04,0.00
,California,Chico,2014.00,3553.00,0.04,0.00
,California,El Centro,2014.00,2262.00,0.05,0.01
,California,Fresno,2014.00,23483.00,0.05,0.00
,California,Madera,2014.00,2101.00,0.03,0.00
,California,Merced,2014.00,3202.00,0.04,0.00
,California,Modesto,2014.00,10891.00,0.05,0.00
,California,Napa,2014.00,1564.00,0.02,0.00
,California,Redding,2014.00,4534.00,0.05,0.00
,California,Salinas,2014.00,6224.00,0.04,-0.01
,California,Santa Rosa,2014.00,4486.00,0.03,0.00
,California,Yuba City,2014.00,1922.00,0.03,0.00
,Colorado,Boulder,2014.00,3019.00,0.03,0.00
,Colorado,Colorado Springs,2014.00,18358.00,0.04,0.00
,Colorado,Fort Collins,2014.00,4111.00,0.03,0.00
,Colorado,Grand Junction,2014.00,2816.00,0.05,0.00
,Colorado,Greeley,2014.00,3777.00,0.04,-0.01
,Colorado,Pueblo,2014.00,7963.00,0.07,0.00
,Delaware,Dover,2014.00,2116.00,0.06,0.00
,Florida,Gainesville,2014.00,5397.00,0.04,0.00
,Florida,Jacksonville,2014.00,39585.00,0.05,0.00
,Florida,Ocala,2014.00,3363.00,0.06,0.00
,Florida,Panama City,2014.00,2924.00,0.08,-0.01
,Florida,Port St. Lucie,2014.00,2741.00,0.02,0.00
,Florida,Punta Gorda,2014.00,295.00,0.02,0.00
,Florida,Sebring,2014.00,521.00,0.05,0.00
,Florida,Tallahassee,2014.00,10838.00,0.06,0.00
,Georgia,Albany,2014.00,4971.00,0.07,0.00
,Georgia,Brunswick,2014.00,1427.00,0.09,-0.02
,Georgia,Columbus,2014.00,14479.00,0.07,-0.01
,Georgia,Dalton,2014.00,1332.00,0.04,0.00
,Georgia,Gainesville,2014.00,1623.00,0.05,0.00
,Georgia,Hinesville,2014.00,1588.00,0.05,-0.01
,Georgia,Macon,2014.00,0.00,NA,NA
,Georgia,Rome,2014.00,0.00,NA,NA
,Georgia,Valdosta,2014.00,3473.00,0.06,NA
,Georgia,Warner Robins,2014.00,4852.00,0.07,-0.01
,Idaho,Coeur d'Alene,2014.00,2061.00,0.04,-0.01
,Idaho,Idaho Falls,2014.00,1628.00,0.03,0.00
,Idaho,Lewiston,2014.00,1192.00,0.04,0.00
,Idaho,Pocatello,2014.00,0.00,NA,NA
,Illinois,Bloomington,2014.00,1995.00,0.03,0.00
,Illinois,Danville,2014.00,2226.00,0.07,0.01
,Illinois,Decatur,2014.00,2580.00,0.03,0.00
,Illinois,Kankakee,2014.00,1453.00,0.05,NA
,Illinois,Peoria,2014.00,5617.00,0.05,0.00
,Illinois,Rockford,2014.00,8248.00,0.06,0.00
,Illinois,Springfield,2014.00,6783.00,0.06,0.00
,Indiana,Bloomington,2014.00,2760.00,0.03,0.00
,Indiana,Columbus,2014.00,2046.00,0.04,0.00
,Indiana,Evansville,2014.00,7506.00,0.06,-0.01
,Indiana,Fort Wayne,2014.00,9168.00,0.04,0.00
,Indiana,Kokomo,2014.00,2236.00,0.04,0.00
,Indiana,Muncie,2014.00,3176.00,0.05,NA
,Indiana,Terre Haute,2014.00,3210.00,0.05,0.00
,Iowa,Ames,2014.00,1192.00,0.02,0.00
,Iowa,Cedar Rapids,2014.00,5338.00,0.04,0.00
,Iowa,Dubuque,2014.00,1658.00,0.03,0.01
,Iowa,Iowa City,2014.00,1969.00,0.03,0.00
,Iowa,Sioux City,2014.00,3455.00,0.04,0.00
,Kansas,Lawrence,2014.00,0.00,NA,NA
,Kansas,Topeka,2014.00,6911.00,0.05,0.00
,Kansas,Wichita,2014.00,0.00,NA,NA
,Kentucky,Bowling Green,2014.00,3139.00,0.05,0.00
,Kentucky,Owensboro,2014.00,2374.00,0.04,0.00
,Louisiana,Alexandria,2014.00,4619.00,0.10,0.01
,Louisiana,Hammond,2014.00,2392.00,0.12,-0.01
,Louisiana,Lafayette,2014.00,7614.00,0.06,0.00
,Louisiana,Lake Charles,2014.00,0.00,NA,NA
,Louisiana,Monroe,2014.00,5098.00,0.10,0.01
,Maine,Bangor,2014.00,1733.00,0.05,-0.01
,Maryland,Cumberland,2014.00,1455.00,0.07,0.00
,Maryland,Salisbury,2014.00,2121.00,0.07,0.00
,Massachusetts,Pittsfield,2014.00,1535.00,0.03,0.00
,Massachusetts,Springfield,2014.00,7565.00,0.05,0.00
,Massachusetts,Worcester,2014.00,7366.00,0.04,0.00
,Michigan,Ann Arbor,2014.00,2394.00,0.02,0.00
,Michigan,Battle Creek,2014.00,2830.00,0.05,0.00
,Michigan,Bay City,2014.00,1185.00,0.03,0.00
,Michigan,Flint,2014.00,5585.00,0.06,-0.01
,Michigan,Jackson,2014.00,1727.00,0.05,0.01
,Michigan,Midland,2014.00,596.00,0.01,0.00
,Michigan,Monroe,2014.00,0.00,NA,NA
,Michigan,Muskegon,2014.00,2069.00,0.06,-0.01
,Michigan,Saginaw,2014.00,2054.00,0.04,-0.01
,Minnesota,Duluth,2014.00,3959.00,0.05,0.00
,Minnesota,Rochester,2014.00,2428.00,0.02,0.00
,Minnesota,St. Cloud,2014.00,2771.00,0.04,0.01
,Mississippi,Hattiesburg,2014.00,2885.00,0.06,0.01
,Mississippi,Jackson,2014.00,11975.00,0.07,-0.01
,Missouri,Cape Girardeau,2014.00,2019.00,0.05,0.00
,Missouri,Columbia,2014.00,4398.00,0.04,0.00
,Missouri,Jefferson City,2014.00,1464.00,0.03,0.00
,Missouri,Joplin,2014.00,4209.00,0.08,-0.01
,Missouri,Kansas City,2014.00,28510.00,0.06,0.00
,Missouri,Springfield,2014.00,14599.00,0.09,0.00
,Missouri,St. Joseph,2014.00,4645.00,0.06,0.00
,Missouri,St. Louis,2014.00,25267.00,0.08,0.00
,Montana,Billings,2014.00,5352.00,0.05,0.00
,Montana,Great Falls,2014.00,2723.00,0.05,0.00
,Nebraska,Grand Island,2014.00,2354.00,0.05,-0.01
,Nebraska,Lincoln,2014.00,10000.00,0.04,0.00
,Nevada,Reno,2014.00,7945.00,0.03,0.00
,New Jersey,Ocean City,2014.00,488.00,0.04,0.00
,New Jersey,Trenton,2014.00,2960.00,0.04,0.00
,New Mexico,Albuquerque,2014.00,35371.00,0.06,0.01
,New Mexico,Farmington,2014.00,1822.00,0.04,0.00
,New Mexico,Las Cruces,2014.00,4909.00,0.05,0.00
,New Mexico,Santa Fe,2014.00,3261.00,0.05,0.00
,New York,Binghamton,2014.00,2353.00,0.05,0.00
,New York,Elmira,2014.00,1044.00,0.04,0.00
,New York,Glens Falls,2014.00,363.00,0.03,-0.01
,New York,Ithaca,2014.00,0.00,NA,NA
,New York,Kingston,2014.00,739.00,0.03,0.00
,New York,Rochester,2014.00,10621.00,0.05,0.00
,New York,Syracuse,2014.00,6919.00,0.05,0.00
,North Carolina,Asheville,2014.00,4778.00,0.05,0.00
,North Carolina,Burlington,2014.00,2416.00,0.05,0.00
,North Carolina,Fayetteville,2014.00,11563.00,0.06,NA
,North Carolina,Goldsboro,2014.00,2537.00,0.07,0.01
,North Carolina,New Bern,2014.00,1389.00,0.05,0.00
,North Carolina,Raleigh,2014.00,0.00,NA,NA
,North Carolina,Rocky Mount,2014.00,3277.00,0.06,-0.01
,North Carolina,Wilmington,2014.00,5938.00,0.05,0.00
,North Dakota,Bismarck,2014.00,1890.00,0.03,-0.01
,North Dakota,Fargo,2014.00,3452.00,0.03,0.00
,North Dakota,Grand Forks,2014.00,1672.00,0.03,0.00
,Ohio,Akron,2014.00,10419.00,0.05,-0.01
,Ohio,Cincinnati,2014.00,19252.00,0.06,0.00
,Ohio,Columbus,2014.00,39897.00,0.05,0.00
,Ohio,Dayton,2014.00,9188.00,0.06,0.00
,Ohio,Lima,2014.00,2221.00,0.06,0.01
,Ohio,Mansfield,2014.00,3384.00,0.07,-0.01
,Ohio,Springfield,2014.00,4680.00,0.08,-0.01
,Ohio,Toledo,2014.00,3068.00,0.01,0.05
,Oklahoma,Enid,2014.00,2234.00,0.04,0.00
,Oklahoma,Lawton,2014.00,5401.00,0.06,0.00
,Oklahoma,Oklahoma City,2014.00,32040.00,0.05,0.00
,Oklahoma,Tulsa,2014.00,23521.00,0.06,0.00
,Oregon,Albany,2014.00,1717.00,0.03,0.00
,Oregon,Corvallis,2014.00,1809.00,0.03,0.00
,Oregon,Eugene,2014.00,0.00,NA,NA
,Oregon,Medford,2014.00,5520.00,0.07,0.00
,Oregon,Salem,2014.00,7536.00,0.05,0.00
,Pennsylvania,Altoona,2014.00,1049.00,0.02,0.00
,Pennsylvania,Erie,2014.00,3046.00,0.03,0.00
,Pennsylvania,Gettysburg,2014.00,159.00,0.02,0.00
,Pennsylvania,Johnstown,2014.00,933.00,0.04,-0.01
,Pennsylvania,Lancaster,2014.00,2694.00,0.05,0.00
,Pennsylvania,Lebanon,2014.00,700.00,0.03,0.00
,Pennsylvania,Pittsburgh,2014.00,12338.00,0.04,0.00
,Pennsylvania,Reading,2014.00,3311.00,0.04,0.00
,Pennsylvania,State College,2014.00,658.00,0.01,0.00
,Pennsylvania,Williamsport,2014.00,1143.00,0.04,0.00
,South Carolina,Columbia,2014.00,8195.00,0.06,0.00
,South Carolina,Florence,2014.00,3132.00,0.08,0.00
,South Carolina,Spartanburg,2014.00,2801.00,0.07,0.00
,South Carolina,Sumter,2014.00,2259.00,0.05,0.00
,South Dakota,Rapid City,2014.00,3130.00,0.04,0.00
,South Dakota,Sioux Falls,2014.00,5678.00,0.03,0.00
,Tennessee,Chattanooga,2014.00,12667.00,0.07,0.00
,Tennessee,Clarksville,2014.00,5239.00,0.04,0.00
,Tennessee,Cleveland,2014.00,2953.00,0.07,0.00
,Tennessee,Jackson,2014.00,3797.00,0.06,0.00
,Tennessee,Johnson City,2014.00,2609.00,0.04,0.00
,Tennessee,Knoxville,2014.00,13640.00,0.07,0.00
,Tennessee,Memphis,2014.00,50616.00,0.08,0.00
,Tennessee,Morristown,2014.00,1658.00,0.06,0.00
,Texas,Abilene,2014.00,5915.00,0.05,0.00
,Texas,Amarillo,2014.00,10687.00,0.05,0.00
,Texas,Corpus Christi,2014.00,16204.00,0.05,-0.01
,Texas,El Paso,2014.00,17241.00,0.03,0.00
,Texas,Laredo,2014.00,10663.00,0.04,0.00
,Texas,Longview,2014.00,3214.00,0.04,0.02
,Texas,Lubbock,2014.00,12701.00,0.05,0.01
,Texas,Midland,2014.00,3673.00,0.03,0.00
,Texas,Odessa,2014.00,5285.00,0.05,0.00
,Texas,San Angelo,2014.00,4111.00,0.04,0.00
,Texas,Texarkana,2014.00,2718.00,0.07,-0.01
,Texas,Tyler,2014.00,0.00,NA,NA
,Texas,Victoria,2014.00,2619.00,0.04,0.00
,Texas,Waco,2014.00,5585.00,0.04,0.00
,Texas,Wichita Falls,2014.00,4684.00,0.04,0.00
,Utah,Logan,2014.00,0.00,NA,NA
,Utah,Salt Lake City,2014.00,17675.00,0.09,0.01
,Utah,St. George,2014.00,1618.00,0.02,0.00
,Virginia,Charlottesville,2014.00,1547.00,0.03,-0.01
,Virginia,Harrisonburg,2014.00,1253.00,0.02,0.00
,Virginia,Lynchburg,2014.00,2359.00,0.03,-0.01
,Virginia,Richmond,2014.00,9642.00,0.04,0.00
,Virginia,Roanoke,2014.00,4467.00,0.05,0.00
,Virginia,Winchester,2014.00,1168.00,0.04,0.00
,Washington,Bellingham,2014.00,4919.00,0.06,-0.01
,Washington,Longview,2014.00,2438.00,0.07,-0.01
,Washington,Walla Walla,2014.00,1664.00,0.05,0.00
,Washington,Wenatchee,2014.00,1219.00,0.04,0.00
,Washington,Yakima,2014.00,5024.00,0.05,0.01
,West Virginia,Beckley,2014.00,1454.00,0.08,0.01
,West Virginia,Morgantown,2014.00,875.00,0.03,0.00
,Wisconsin,Appleton,2014.00,1578.00,0.02,0.00
,Wisconsin,Eau Claire,2014.00,1837.00,0.03,0.00
,Wisconsin,Fond du Lac,2014.00,1344.00,0.03,0.00
,Wisconsin,Green Bay,2014.00,2830.00,0.03,0.00
,Wisconsin,Madison,2014.00,7824.00,0.03,0.00
,Wisconsin,Racine,2014.00,3033.00,0.04,0.00
,Wisconsin,Wausau,2014.00,849.00,0.02,0.00
,Wyoming,Casper,2014.00,1716.00,0.03,0.00
,Wyoming,Cheyenne,2014.00,1884.00,0.03,0.00
,Alabama,Mobile,2014.00,13091.00,0.05,0.00
,Louisiana,Baton Rouge,2014.00,12390.00,0.05,0.00
,Montana,Missoula,2014.00,3091.00,0.04,0.01
,North Carolina,Jacksonville,2014.00,0.00,NA,NA
,Oregon,Grants Pass,2014.00,0.00,NA,NA
,West Virginia,Charleston,2014.00,3948.00,0.08,0.00
,Wisconsin,Sheboygan,2014.00,1423.00,0.03,0.00
,North Carolina,Greenville,2014.00,4153.00,0.05,0.00
,West Virginia,Wheeling,2014.00,922.00,0.03,0.00
,Alabama,Decatur,2015.00,2528.00,0.05,0.00
,Alabama,Dothan,2015.00,2445.00,0.04,NA
,Alabama,Gadsden,2015.00,3088.00,0.09,0.00
,Alabama,Huntsville,2015.00,10284.00,0.05,0.00
,Alabama,Montgomery,2015.00,9405.00,0.05,0.00
,Alabama,Tuscaloosa,2015.00,4770.00,0.05,0.00
,Alaska,Anchorage,2015.00,15027.00,0.05,0.00
,Alaska,Fairbanks,2015.00,1349.00,0.04,0.00
,Arizona,Flagstaff,2015.00,2914.00,0.04,-0.01
,Arizona,Prescott,2015.00,1198.00,0.03,0.00
,Arizona,Tucson,2015.00,38657.00,0.07,NA
,Arizona,Yuma,2015.00,3378.00,0.04,-0.01
,Arkansas,Fort Smith,2015.00,5866.00,0.07,0.01
,Arkansas,Hot Springs,2015.00,0.00,NA,NA
,Arkansas,Jonesboro,2015.00,3336.00,0.05,0.00
,Arkansas,Pine Bluff,2015.00,3336.00,0.08,0.00
,California,Bakersfield,2015.00,17369.00,0.05,0.00
,California,Chico,2015.00,3951.00,0.04,0.00
,California,El Centro,2015.00,2831.00,0.06,0.01
,California,Fresno,2015.00,24477.00,0.05,0.00
,California,Madera,2015.00,2372.00,0.04,0.00
,California,Merced,2015.00,3523.00,0.04,0.00
,California,Modesto,2015.00,12148.00,0.06,0.00
,California,Napa,2015.00,1710.00,0.02,0.00
,California,Redding,2015.00,4783.00,0.05,0.00
,California,Salinas,2015.00,5243.00,0.03,-0.01
,California,Santa Rosa,2015.00,4917.00,0.03,0.00
,California,Yuba City,2015.00,2008.00,0.03,0.00
,Colorado,Boulder,2015.00,3047.00,0.03,0.00
,Colorado,Colorado Springs,2015.00,18487.00,0.04,0.00
,Colorado,Fort Collins,2015.00,4328.00,0.03,0.00
,Colorado,Grand Junction,2015.00,2930.00,0.05,0.00
,Colorado,Greeley,2015.00,3079.00,0.03,-0.01
,Colorado,Pueblo,2015.00,8260.00,0.08,0.00
,Delaware,Dover,2015.00,2278.00,0.06,0.00
,Florida,Gainesville,2015.00,5547.00,0.04,0.00
,Florida,Jacksonville,2015.00,37476.00,0.04,0.00
,Florida,Ocala,2015.00,3412.00,0.06,0.00
,Florida,Panama City,2015.00,2684.00,0.07,-0.01
,Florida,Port St. Lucie,2015.00,2666.00,0.02,0.00
,Florida,Punta Gorda,2015.00,252.00,0.01,0.00
,Florida,Sebring,2015.00,566.00,0.05,0.00
,Florida,Tallahassee,2015.00,11677.00,0.06,0.00
,Georgia,Albany,2015.00,4702.00,0.06,0.00
,Georgia,Brunswick,2015.00,1136.00,0.07,-0.02
,Georgia,Columbus,2015.00,12427.00,0.06,-0.01
,Georgia,Dalton,2015.00,1251.00,0.04,0.00
,Georgia,Gainesville,2015.00,1495.00,0.04,0.00
,Georgia,Hinesville,2015.00,1329.00,0.04,-0.01
,Georgia,Macon,2015.00,0.00,NA,NA
,Georgia,Rome,2015.00,1985.00,0.06,NA
,Georgia,Valdosta,2015.00,0.00,NA,NA
,Georgia,Warner Robins,2015.00,4371.00,0.06,-0.01
,Idaho,Coeur d'Alene,2015.00,1533.00,0.03,-0.01
,Idaho,Idaho Falls,2015.00,1772.00,0.03,0.00
,Idaho,Lewiston,2015.00,1149.00,0.04,0.00
,Idaho,Pocatello,2015.00,1827.00,0.03,NA
,Illinois,Bloomington,2015.00,1765.00,0.02,0.00
,Illinois,Danville,2015.00,2489.00,0.08,0.01
,Illinois,Decatur,2015.00,2778.00,0.04,0.00
,Illinois,Kankakee,2015.00,0.00,NA,NA
,Illinois,Peoria,2015.00,5220.00,0.04,0.00
,Illinois,Rockford,2015.00,8205.00,0.06,0.00
,Illinois,Springfield,2015.00,6572.00,0.06,0.00
,Indiana,Bloomington,2015.00,2993.00,0.04,0.00
,Indiana,Columbus,2015.00,2145.00,0.05,0.00
,Indiana,Evansville,2015.00,6870.00,0.06,-0.01
,Indiana,Fort Wayne,2015.00,8927.00,0.03,0.00
,Indiana,Kokomo,2015.00,2173.00,0.04,0.00
,Indiana,Muncie,2015.00,0.00,NA,NA
,Indiana,Terre Haute,2015.00,3008.00,0.05,0.00
,Iowa,Ames,2015.00,1323.00,0.02,0.00
,Iowa,Cedar Rapids,2015.00,5298.00,0.04,0.00
,Iowa,Dubuque,2015.00,2113.00,0.04,0.01
,Iowa,Iowa City,2015.00,2117.00,0.03,0.00
,Iowa,Sioux City,2015.00,3842.00,0.05,0.00
,Kansas,Lawrence,2015.00,0.00,NA,NA
,Kansas,Topeka,2015.00,7321.00,0.06,0.00
,Kansas,Wichita,2015.00,23491.00,0.06,NA
,Kentucky,Bowling Green,2015.00,3362.00,0.05,0.00
,Kentucky,Owensboro,2015.00,2308.00,0.04,0.00
,Louisiana,Alexandria,2015.00,5034.00,0.10,0.01
,Louisiana,Hammond,2015.00,2285.00,0.11,-0.01
,Louisiana,Lafayette,2015.00,7464.00,0.06,0.00
,Louisiana,Lake Charles,2015.00,3616.00,0.05,NA
,Louisiana,Monroe,2015.00,5458.00,0.11,0.01
,Maine,Bangor,2015.00,1332.00,0.04,-0.01
,Maryland,Cumberland,2015.00,1474.00,0.07,0.00
,Maryland,Salisbury,2015.00,2113.00,0.06,0.00
,Massachusetts,Pittsfield,2015.00,1554.00,0.04,0.00
,Massachusetts,Springfield,2015.00,6822.00,0.04,0.00
,Massachusetts,Worcester,2015.00,7002.00,0.04,0.00
,Michigan,Ann Arbor,2015.00,2592.00,0.02,0.00
,Michigan,Battle Creek,2015.00,2697.00,0.04,0.00
,Michigan,Bay City,2015.00,1294.00,0.04,0.00
,Michigan,Flint,2015.00,4989.00,0.05,-0.01
,Michigan,Jackson,2015.00,1888.00,0.06,0.01
,Michigan,Midland,2015.00,583.00,0.01,0.00
,Michigan,Monroe,2015.00,593.00,0.03,NA
,Michigan,Muskegon,2015.00,1891.00,0.05,-0.01
,Michigan,Saginaw,2015.00,1782.00,0.04,-0.01
,Minnesota,Duluth,2015.00,3963.00,0.05,0.00
,Minnesota,Rochester,2015.00,2744.00,0.02,0.00
