State,Population,total.Crime.,Year
New Hampshire,1165639.00,29783.00,2012.00
New Jersey,8470022.00,193085.00,2012.00
New Mexico,1219199.00,63782.00,2012.00
New York,13805030.00,357551.00,2012.00
North Carolina,4699895.00,233185.00,2012.00
North Dakota,427816.00,11894.00,2012.00
Ohio,5863073.00,222259.00,2012.00
Oklahoma,2670209.00,126519.00,2012.00
Oregon,2380981.00,100410.00,2012.00
Pennsylvania,9685946.00,267344.00,2012.00
Rhode Island,1037789.00,28852.00,2012.00
South Carolina,1359245.00,76137.00,2012.00
South Dakota,480492.00,14989.00,2012.00
Tennessee,3458507.00,181499.00,2012.00
Texas,18382750.00,790733.00,2012.00
Utah,2058272.00,66314.00,2012.00
Vermont,290537.00,8755.00,2012.00
Virginia,2884214.00,100700.00,2012.00
Washington,4176109.00,200178.00,2012.00
West Virginia,361337.00,13270.00,2012.00
Wisconsin,3615578.00,124228.00,2012.00
Wyoming,358146.00,11148.00,2012.00
Alabama,2392789.00,124473.00,2013.00
Alaska,473660.00,21274.00,2013.00
Arizona,4867945.00,202564.00,2013.00
Arkansas,1617882.00,83407.00,2013.00
California,31696400.00,994583.00,2013.00
Colorado,3658311.00,130071.00,2013.00
Connecticut,3058728.00,74337.00,2013.00
Delaware,252549.00,13302.00,2013.00
District of Columbia,646449.00,37449.00,2013.00
Florida,9372371.00,412410.00,2013.00
Georgia,3471843.00,176215.00,2013.00
Hawaii,0.00,0.00,2013.00
Idaho,948949.00,24879.00,2013.00
Illinois,10062014.00,173110.00,2013.00
Indiana,3330336.00,152608.00,2013.00
Iowa,1782187.00,60013.00,2013.00
Kansas,1999750.00,77046.00,2013.00
Kentucky,2301467.00,89310.00,2013.00
Louisiana,1874385.00,103057.00,2013.00
Maine,846180.00,24907.00,2013.00
Maryland,1298306.00,64917.00,2013.00
Massachusetts,6455480.00,155590.00,2013.00
Michigan,5574769.00,194578.00,2013.00
Minnesota,3836664.00,121630.00,2013.00
Mississippi,880387.00,43722.00,2013.00
Missouri,3732010.00,174261.00,2013.00
Montana,448912.00,18882.00,2013.00
Nebraska,1171794.00,44824.00,2013.00
Nevada,2399071.00,86422.00,2013.00
New Hampshire,1171682.00,28782.00,2013.00
New Jersey,8409760.00,177429.00,2013.00
New Mexico,975669.00,54695.00,2013.00
New York,13933096.00,345982.00,2013.00
North Carolina,4426102.00,200888.00,2013.00
North Dakota,446217.00,12836.00,2013.00
Ohio,5727563.00,211662.00,2013.00
Oklahoma,2699411.00,121808.00,2013.00
Oregon,2522846.00,105269.00,2013.00
Pennsylvania,9182419.00,242939.00,2013.00
Rhode Island,1044935.00,27657.00,2013.00
South Carolina,1542253.00,85945.00,2013.00
South Dakota,484973.00,13685.00,2013.00
Tennessee,3609335.00,184723.00,2013.00
